O*NET-SOC Code	Task ID	Task	Task Type	Incumbents Responding	Date	Domain Source
11-1011.00	8823	Direct and coordinate an organization's financial and budget activities to fund operations, maximize investments, and increase efficiency.	Core	105	06/2006	Incumbent
11-1011.00	8824	Confer with board members, organization officials, and staff members to discuss issues, coordinate activities, and resolve problems.	Core	104	06/2006	Incumbent
11-1011.00	8825	Analyze operations to evaluate performance of a company and its staff in meeting objectives, and to determine areas of potential cost reduction, program improvement, or policy change.	Core	105	06/2006	Incumbent
11-1011.00	8826	Direct, plan, and implement policies, objectives, and activities of organizations or businesses to ensure continuing operations, to maximize returns on investments, and to increase productivity.	Core	105	06/2006	Incumbent
11-1011.00	8827	Prepare budgets for approval, including those for funding and implementation of programs.	Core	105	06/2006	Incumbent
11-1011.00	8828	Direct and coordinate activities of businesses or departments concerned with production, pricing, sales, or distribution of products.	Core	104	06/2006	Incumbent
11-1011.00	8829	Negotiate or approve contracts and agreements with suppliers, distributors, federal and state agencies, and other organizational entities.	Core	104	06/2006	Incumbent
11-1011.00	8830	Review reports submitted by staff members to recommend approval or to suggest changes.	Core	105	06/2006	Incumbent
11-1011.00	8831	Appoint department heads or managers and assign or delegate responsibilities to them.	Core	104	06/2006	Incumbent
11-1011.00	8832	Direct human resources activities, including the approval of human resource plans and activities, the selection of directors and other high-level staff, and establishment and organization of major departments.	Core	104	06/2006	Incumbent
11-1011.00	8833	Preside over or serve on boards of directors, management committees, or other governing boards.	Core	105	06/2006	Incumbent
11-1011.00	8834	Prepare and present reports concerning activities, expenses, budgets, government statutes and rulings, and other items affecting businesses or program services.	Core	105	06/2006	Incumbent
11-1011.00	8835	Establish departmental responsibilities and coordinate functions among departments and sites.	Core	104	06/2006	Incumbent
11-1011.00	8836	Implement corrective action plans to solve organizational or departmental problems.	Core	105	06/2006	Incumbent
11-1011.00	8837	Coordinate the development and implementation of budgetary control systems, recordkeeping systems, and other administrative control processes.	Core	103	06/2006	Incumbent
11-1011.00	8838	Direct non-merchandising departments such as advertising, purchasing, credit, and accounting.	Core	105	06/2006	Incumbent
11-1011.00	8839	Deliver speeches, write articles, and present information at meetings or conventions to promote services, exchange ideas, and accomplish objectives.	Core	105	06/2006	Incumbent
11-1011.00	8840	Serve as liaisons between organizations, shareholders, and outside organizations.	Supplemental	103	06/2006	Incumbent
11-1011.00	8841	Review and analyze legislation, laws, and public policy, and recommend changes to promote and support interests of both the general population and special groups.	Supplemental	103	06/2006	Incumbent
11-1011.00	8842	Nominate citizens to boards and commissions.	Supplemental	103	06/2006	Incumbent
11-1011.00	8843	Interpret and explain policies, rules, regulations, and laws to organizations, government and corporate officials, and individuals.	Supplemental	104	06/2006	Incumbent
11-1011.00	8844	Make presentations to legislative and other government committees regarding policies, programs, or budgets.	Supplemental	105	06/2006	Incumbent
11-1011.00	8845	Refer major policy matters to elected representatives for final decisions.	Supplemental	105	06/2006	Incumbent
11-1011.00	8846	Administer programs for selection of sites, construction of buildings, and provision of equipment and supplies.	Supplemental	104	06/2006	Incumbent
11-1011.00	8847	Direct and coordinate activities of businesses involved with buying and selling investment products and financial services.	Supplemental	105	06/2006	Incumbent
11-1011.00	8848	Direct and conduct studies and research on issues affecting areas of responsibility.	Supplemental	105	06/2006	Incumbent
11-1011.00	8849	Attend and participate in meetings of municipal councils and council committees.	Supplemental	105	06/2006	Incumbent
11-1011.00	8850	Organize and approve promotional campaigns.	Supplemental	105	06/2006	Incumbent
11-1011.00	8851	Conduct or direct investigations or hearings to resolve complaints and violations of laws, or testify at such hearings.	Supplemental	104	06/2006	Incumbent
11-1011.00	8852	Represent organizations and promote their objectives at official functions, or delegate representatives to do so.	Supplemental	104	06/2006	Incumbent
11-1011.00	8853	Prepare bylaws approved by elected officials and ensure that bylaws are enforced.	Supplemental	104	06/2006	Incumbent
11-1011.00	8854	Direct and coordinate activities between the United States Government and foreign entities to provide information and promote international interests and harmony.	Supplemental	103	06/2006	Incumbent
11-1011.03	15384	Develop or execute strategies to address issues such as energy use, resource conservation, recycling, pollution reduction, waste elimination, transportation, education, and building design.	n/a	n/a	06/2009	Analyst
11-1011.03	15383	Direct sustainability program operations to ensure compliance with environmental or governmental regulations.	n/a	n/a	06/2009	Analyst
11-1011.03	15382	Monitor and evaluate effectiveness of sustainability programs.	n/a	n/a	06/2009	Analyst
11-1011.03	15381	Develop methodologies to assess the viability or success of sustainability initiatives.	n/a	n/a	06/2009	Analyst
11-1011.03	15380	Develop, or oversee the development of, marketing or outreach media for sustainability projects or events.	n/a	n/a	06/2009	Analyst
11-1011.03	15379	Develop, or oversee the development of, sustainability evaluation or monitoring systems.	n/a	n/a	06/2009	Analyst
11-1011.03	15378	Develop sustainability reports, presentations, or proposals for supplier, employee, academia, media, government, public interest, or other groups.	n/a	n/a	06/2009	Analyst
11-1011.03	15377	Evaluate and approve proposals for sustainability projects, considering factors such as cost effectiveness, technical feasibility, and integration with other initiatives.	n/a	n/a	06/2009	Analyst
11-1011.03	15375	Formulate or implement sustainability campaign or marketing strategies.	n/a	n/a	06/2009	Analyst
11-1011.03	15376	Research environmental sustainability issues, concerns, or stakeholder interests.	n/a	n/a	06/2009	Analyst
11-1011.03	15374	Review sustainability program objectives, progress, or status to ensure compliance with policies, standards, regulations, or laws.	n/a	n/a	06/2009	Analyst
11-1011.03	15372	Supervise employees or volunteers working on sustainability projects.	n/a	n/a	06/2009	Analyst
11-1011.03	15373	Write and distribute financial or environmental impact reports.	n/a	n/a	06/2009	Analyst
11-1011.03	15371	Write project proposals, grant applications, or other documents to pursue funding for environmental initiatives.	n/a	n/a	06/2009	Analyst
11-1011.03	15369	Conduct sustainability- or environment-related risk assessments.	n/a	n/a	06/2009	Analyst
11-1011.03	15370	Create and maintain sustainability program documents, such as schedules and budgets.	n/a	n/a	06/2009	Analyst
11-1011.03	15368	Identify and evaluate pilot projects or programs to enhance the sustainability research agenda.	n/a	n/a	06/2009	Analyst
11-1011.03	15367	Identify educational, training, or other development opportunities for sustainability employees or volunteers.	n/a	n/a	06/2009	Analyst
11-1021.00	939	Oversee activities directly related to making products or providing services.	Core	120	06/2008	Incumbent
11-1021.00	933	Direct and coordinate activities of businesses or departments concerned with the production, pricing, sales, or distribution of products.	Core	116	06/2008	Incumbent
11-1021.00	935	Review financial statements, sales and activity reports, and other performance data to measure productivity and goal achievement and to determine areas needing cost reduction and program improvement.	Core	118	06/2008	Incumbent
11-1021.00	934	Manage staff, preparing work schedules and assigning specific duties.	Core	119	06/2008	Incumbent
11-1021.00	940	Direct and coordinate organization's financial and budget activities to fund operations, maximize investments, and increase efficiency.	Core	117	06/2008	Incumbent
