O*NET-SOC Code	Element ID	Element Name	Scale ID	Data Value	N	Standard Error	Lower CI Bound	Upper CI Bound	Recommend Suppress	Date	Domain Source
11-1011.00	1.C.1.a	Achievement/Effort	IM	4.66	30	0.18	4.30	5.00	N	06/2006	Incumbent
11-1011.00	1.C.1.b	Persistence	IM	4.61	30	0.19	4.23	4.99	N	06/2006	Incumbent
11-1011.00	1.C.1.c	Initiative	IM	4.79	30	0.14	4.51	5.00	N	06/2006	Incumbent
11-1011.00	1.C.2.b	Leadership	IM	4.84	30	0.13	4.57	5.00	N	06/2006	Incumbent
11-1011.00	1.C.3.a	Cooperation	IM	4.42	30	0.19	4.02	4.81	N	06/2006	Incumbent
11-1011.00	1.C.3.b	Concern for Others	IM	3.95	30	0.15	3.64	4.26	N	06/2006	Incumbent
11-1011.00	1.C.3.c	Social Orientation	IM	4.02	29	0.04	3.94	4.09	N	06/2006	Incumbent
11-1011.00	1.C.4.a	Self Control	IM	4.28	30	0.15	3.97	4.59	N	06/2006	Incumbent
11-1011.00	1.C.4.b	Stress Tolerance	IM	4.75	30	0.15	4.45	5.00	N	06/2006	Incumbent
11-1011.00	1.C.4.c	Adaptability/Flexibility	IM	4.48	30	0.21	4.05	4.90	N	06/2006	Incumbent
11-1011.00	1.C.5.a	Dependability	IM	4.67	30	0.18	4.31	5.00	N	06/2006	Incumbent
11-1011.00	1.C.5.b	Attention to Detail	IM	4.26	30	0.31	3.62	4.90	N	06/2006	Incumbent
11-1011.00	1.C.5.c	Integrity	IM	4.85	30	0.13	4.59	5.00	N	06/2006	Incumbent
11-1011.00	1.C.6	Independence	IM	4.63	30	0.18	4.26	5.00	N	06/2006	Incumbent
11-1011.00	1.C.7.a	Innovation	IM	4.22	30	0.14	3.94	4.50	N	06/2006	Incumbent
11-1011.00	1.C.7.b	Analytical Thinking	IM	4.24	30	0.14	3.95	4.53	N	06/2006	Incumbent
11-1021.00	1.C.1.a	Achievement/Effort	IM	4.07	44	0.14	3.80	4.35	N	06/2008	Incumbent
11-1021.00	1.C.1.b	Persistence	IM	4.24	44	0.11	4.03	4.46	N	06/2008	Incumbent
11-1021.00	1.C.1.c	Initiative	IM	4.36	44	0.14	4.09	4.64	N	06/2008	Incumbent
11-1021.00	1.C.2.b	Leadership	IM	4.50	44	0.10	4.29	4.71	N	06/2008	Incumbent
11-1021.00	1.C.3.a	Cooperation	IM	4.26	44	0.14	3.98	4.53	N	06/2008	Incumbent
11-1021.00	1.C.3.b	Concern for Others	IM	3.96	44	0.18	3.61	4.32	N	06/2008	Incumbent
11-1021.00	1.C.3.c	Social Orientation	IM	3.56	44	0.18	3.19	3.93	N	06/2008	Incumbent
11-1021.00	1.C.4.a	Self Control	IM	4.38	44	0.15	4.08	4.68	N	06/2008	Incumbent
