series_id                     	seasonal	sector_code	industry_code	measure_code	duration_code	base_year	type_code	area_code	series_title	footnote_codes	begin_year	begin_period	end_year	end_period
IPUAN1111__L010000000         	U	A	N1111__	L01	0	2007	I	000000	Annual index of hours worked (2007=100) for NAICS 1111, oilseed and grain farming, U.S. total		1987	A01	2019	A01
IPUAN1111__L011000000         	U	A	N1111__	L01	1	-	R	000000	Annual percent change of hours worked for NAICS 1111, oilseed and grain farming, U.S. total		1988	A01	2019	A01
IPUAN1111__L200000000         	U	A	N1111__	L20	0	-	H	000000	Annual hours worked (millions) for NAICS 1111, oilseed and grain farming, U.S. total		1987	A01	2019	A01
IPUAN1111__L201000000         	U	A	N1111__	L20	1	-	R	000000	Annual percent change of hours worked for NAICS 1111, oilseed and grain farming, U.S. total		1988	A01	2019	A01
IPUAN1111__W010000000         	U	A	N1111__	W01	0	2007	I	000000	Annual index of employment (2007=100) for NAICS 1111, oilseed and grain farming, U.S. total		1987	A01	2019	A01
IPUAN1111__W011000000         	U	A	N1111__	W01	1	-	R	000000	Annual percent change of employment for NAICS 1111, oilseed and grain farming, U.S. total		1988	A01	2019	A01
IPUAN1111__W200000000         	U	A	N1111__	W20	0	-	E	000000	Annual employment (thousands) for NAICS 1111, oilseed and grain farming, U.S. total		1987	A01	2019	A01
IPUAN1111__W201000000         	U	A	N1111__	W20	1	-	R	000000	Annual percent change of employment for NAICS 1111, oilseed and grain farming, U.S. total		1988	A01	2019	A01
IPUAN11121_L010000000         	U	A	N11121_	L01	0	2007	I	000000	Annual index of hours worked (2007=100) for NAICS 11121, vegetable and melon farming, U.S. total		1987	A01	2019	A01
IPUAN11121_L011000000         	U	A	N11121_	L01	1	-	R	000000	Annual percent change of hours worked for NAICS 11121, vegetable and melon farming, U.S. total		1988	A01	2019	A01
IPUAN11121_L200000000         	U	A	N11121_	L20	0	-	H	000000	Annual hours worked (millions) for NAICS 11121, vegetable and melon farming, U.S. total		1987	A01	2019	A01
IPUAN11121_L201000000         	U	A	N11121_	L20	1	-	R	000000	Annual percent change of hours worked for NAICS 11121, vegetable and melon farming, U.S. total		1988	A01	2019	A01
IPUAN11121_W010000000         	U	A	N11121_	W01	0	2007	I	000000	Annual index of employment (2007=100) for NAICS 11121, vegetable and melon farming, U.S. total		1987	A01	2019	A01
IPUAN11121_W011000000         	U	A	N11121_	W01	1	-	R	000000	Annual percent change of employment for NAICS 11121, vegetable and melon farming, U.S. total		1988	A01	2019	A01
IPUAN11121_W200000000         	U	A	N11121_	W20	0	-	E	000000	Annual employment (thousands) for NAICS 11121, vegetable and melon farming, U.S. total		1987	A01	2019	A01
IPUAN11121_W201000000         	U	A	N11121_	W20	1	-	R	000000	Annual percent change of employment for NAICS 11121, vegetable and melon farming, U.S. total		1988	A01	2019	A01
IPUAN1112__L010000000         	U	A	N1112__	L01	0	2007	I	000000	Annual index of hours worked (2007=100) for NAICS 1112, vegetable and melon farming, U.S. total		1987	A01	2019	A01
IPUAN1112__L011000000         	U	A	N1112__	L01	1	-	R	000000	Annual percent change of hours worked for NAICS 1112, vegetable and melon farming, U.S. total		1988	A01	2019	A01
IPUAN1112__L200000000         	U	A	N1112__	L20	0	-	H	000000	Annual hours worked (millions) for NAICS 1112, vegetable and melon farming, U.S. total		1987	A01	2019	A01
IPUAN1112__L201000000         	U	A	N1112__	L20	1	-	R	000000	Annual percent change of hours worked for NAICS 1112, vegetable and melon farming, U.S. total		1988	A01	2019	A01
IPUAN1112__W010000000         	U	A	N1112__	W01	0	2007	I	000000	Annual index of employment (2007=100) for NAICS 1112, vegetable and melon farming, U.S. total		1987	A01	2019	A01
IPUAN1112__W011000000         	U	A	N1112__	W01	1	-	R	000000	Annual percent change of employment for NAICS 1112, vegetable and melon farming, U.S. total		1988	A01	2019	A01
IPUAN1112__W200000000         	U	A	N1112__	W20	0	-	E	000000	Annual employment (thousands) for NAICS 1112, vegetable and melon farming, U.S. total		1987	A01	2019	A01
IPUAN1112__W201000000         	U	A	N1112__	W20	1	-	R	000000	Annual percent change of employment for NAICS 1112, vegetable and melon farming, U.S. total		1988	A01	2019	A01
IPUAN1113__L010000000         	U	A	N1113__	L01	0	2007	I	000000	Annual index of hours worked (2007=100) for NAICS 1113, fruit and tree nut farming, U.S. total		1987	A01	2019	A01
IPUAN1113__L011000000         	U	A	N1113__	L01	1	-	R	000000	Annual percent change of hours worked for NAICS 1113, fruit and tree nut farming, U.S. total		1988	A01	2019	A01
IPUAN1113__L200000000         	U	A	N1113__	L20	0	-	H	000000	Annual hours worked (millions) for NAICS 1113, fruit and tree nut farming, U.S. total		1987	A01	2019	A01
IPUAN1113__L201000000         	U	A	N1113__	L20	1	-	R	000000	Annual percent change of hours worked for NAICS 1113, fruit and tree nut farming, U.S. total		1988	A01	2019	A01
IPUAN1113__W010000000         	U	A	N1113__	W01	0	2007	I	000000	Annual index of employment (2007=100) for NAICS 1113, fruit and tree nut farming, U.S. total		1987	A01	2019	A01
IPUAN1113__W011000000         	U	A	N1113__	W01	1	-	R	000000	Annual percent change of employment for NAICS 1113, fruit and tree nut farming, U.S. total		1988	A01	2019	A01
IPUAN1113__W200000000         	U	A	N1113__	W20	0	-	E	000000	Annual employment (thousands) for NAICS 1113, fruit and tree nut farming, U.S. total		1987	A01	2019	A01
IPUAN1113__W201000000         	U	A	N1113__	W20	1	-	R	000000	Annual percent change of employment for NAICS 1113, fruit and tree nut farming, U.S. total		1988	A01	2019	A01
IPUAN1114__L010000000         	U	A	N1114__	L01	0	2007	I	000000	Annual index of hours worked (2007=100) for NAICS 1114, greenhouse, nursery, and floriculture production, U.S. total		1987	A01	2019	A01
IPUAN1114__L011000000         	U	A	N1114__	L01	1	-	R	000000	Annual percent change of hours worked for NAICS 1114, greenhouse, nursery, and floriculture production, U.S. total		1988	A01	2019	A01
IPUAN1114__L200000000         	U	A	N1114__	L20	0	-	H	000000	Annual hours worked (millions) for NAICS 1114, greenhouse, nursery, and floriculture production, U.S. total		1987	A01	2019	A01
IPUAN1114__L201000000         	U	A	N1114__	L20	1	-	R	000000	Annual percent change of hours worked for NAICS 1114, greenhouse, nursery, and floriculture production, U.S. total		1988	A01	2019	A01
IPUAN1114__W010000000         	U	A	N1114__	W01	0	2007	I	000000	Annual index of employment (2007=100) for NAICS 1114, greenhouse, nursery, and floriculture production, U.S. total		1987	A01	2019	A01
IPUAN1114__W011000000         	U	A	N1114__	W01	1	-	R	000000	Annual percent change of employment for NAICS 1114, greenhouse, nursery, and floriculture production, U.S. total		1988	A01	2019	A01
IPUAN1114__W200000000         	U	A	N1114__	W20	0	-	E	000000	Annual employment (thousands) for NAICS 1114, greenhouse, nursery, and floriculture production, U.S. total		1987	A01	2019	A01
IPUAN1114__W201000000         	U	A	N1114__	W20	1	-	R	000000	Annual percent change of employment for NAICS 1114, greenhouse, nursery, and floriculture production, U.S. total		1988	A01	2019	A01
IPUAN1119__L010000000         	U	A	N1119__	L01	0	2007	I	000000	Annual index of hours worked (2007=100) for NAICS 1119, other crop farming, U.S. total		1987	A01	2019	A01
IPUAN1119__L011000000         	U	A	N1119__	L01	1	-	R	000000	Annual percent change of hours worked for NAICS 1119, other crop farming, U.S. total		1988	A01	2019	A01
IPUAN1119__L200000000         	U	A	N1119__	L20	0	-	H	000000	Annual hours worked (millions) for NAICS 1119, other crop farming, U.S. total		1987	A01	2019	A01
IPUAN1119__L201000000         	U	A	N1119__	L20	1	-	R	000000	Annual percent change of hours worked for NAICS 1119, other crop farming, U.S. total		1988	A01	2019	A01
IPUAN1119__W010000000         	U	A	N1119__	W01	0	2007	I	000000	Annual index of employment (2007=100) for NAICS 1119, other crop farming, U.S. total		1987	A01	2019	A01
IPUAN1119__W011000000         	U	A	N1119__	W01	1	-	R	000000	Annual percent change of employment for NAICS 1119, other crop farming, U.S. total		1988	A01	2019	A01
IPUAN1119__W200000000         	U	A	N1119__	W20	0	-	E	000000	Annual employment (thousands) for NAICS 1119, other crop farming, U.S. total		1987	A01	2019	A01
IPUAN1119__W201000000         	U	A	N1119__	W20	1	-	R	000000	Annual percent change of employment for NAICS 1119, other crop farming, U.S. total		1988	A01	2019	A01
IPUAN111___L010000000         	U	A	N111___	L01	0	2007	I	000000	Annual index of hours worked (2007=100) for NAICS 111, crop production, U.S. total		1987	A01	2019	A01
IPUAN111___L011000000         	U	A	N111___	L01	1	-	R	000000	Annual percent change of hours worked for NAICS 111, crop production, U.S. total		1988	A01	2019	A01
IPUAN111___L200000000         	U	A	N111___	L20	0	-	H	000000	Annual hours worked (millions) for NAICS 111, crop production, U.S. total		1987	A01	2019	A01
IPUAN111___L201000000         	U	A	N111___	L20	1	-	R	000000	Annual percent change of hours worked for NAICS 111, crop production, U.S. total		1988	A01	2019	A01
IPUAN111___W010000000         	U	A	N111___	W01	0	2007	I	000000	Annual index of employment (2007=100) for NAICS 111, crop production, U.S. total		1987	A01	2019	A01
IPUAN111___W011000000         	U	A	N111___	W01	1	-	R	000000	Annual percent change of employment for NAICS 111, crop production, U.S. total		1988	A01	2019	A01
IPUAN111___W200000000         	U	A	N111___	W20	0	-	E	000000	Annual employment (thousands) for NAICS 111, crop production, U.S. total		1987	A01	2019	A01
IPUAN111___W201000000         	U	A	N111___	W20	1	-	R	000000	Annual percent change of employment for NAICS 111, crop production, U.S. total		1988	A01	2019	A01
IPUAN1121__L010000000         	U	A	N1121__	L01	0	2007	I	000000	Annual index of hours worked (2007=100) for NAICS 1121, cattle ranching and farming, U.S. total		1987	A01	2019	A01
IPUAN1121__L011000000         	U	A	N1121__	L01	1	-	R	000000	Annual percent change of hours worked for NAICS 1121, cattle ranching and farming, U.S. total		1988	A01	2019	A01
IPUAN1121__L200000000         	U	A	N1121__	L20	0	-	H	000000	Annual hours worked (millions) for NAICS 1121, cattle ranching and farming, U.S. total		1987	A01	2019	A01
IPUAN1121__L201000000         	U	A	N1121__	L20	1	-	R	000000	Annual percent change of hours worked for NAICS 1121, cattle ranching and farming, U.S. total		1988	A01	2019	A01
IPUAN1121__W010000000         	U	A	N1121__	W01	0	2007	I	000000	Annual index of employment (2007=100) for NAICS 1121, cattle ranching and farming, U.S. total		1987	A01	2019	A01
IPUAN1121__W011000000         	U	A	N1121__	W01	1	-	R	000000	Annual percent change of employment for NAICS 1121, cattle ranching and farming, U.S. total		1988	A01	2019	A01
IPUAN1121__W200000000         	U	A	N1121__	W20	0	-	E	000000	Annual employment (thousands) for NAICS 1121, cattle ranching and farming, U.S. total		1987	A01	2019	A01
IPUAN1121__W201000000         	U	A	N1121__	W20	1	-	R	000000	Annual percent change of employment for NAICS 1121, cattle ranching and farming, U.S. total		1988	A01	2019	A01
IPUAN112210L010000000         	U	A	N112210	L01	0	2007	I	000000	Annual index of hours worked (2007=100) for NAICS 112210, hog and pig farming, U.S. total		1987	A01	2019	A01
IPUAN112210L011000000         	U	A	N112210	L01	1	-	R	000000	Annual percent change of hours worked for NAICS 112210, hog and pig farming, U.S. total		1988	A01	2019	A01
IPUAN112210L200000000         	U	A	N112210	L20	0	-	H	000000	Annual hours worked (millions) for NAICS 112210, hog and pig farming, U.S. total		1987	A01	2019	A01
IPUAN112210L201000000         	U	A	N112210	L20	1	-	R	000000	Annual percent change of hours worked for NAICS 112210, hog and pig farming, U.S. total		1988	A01	2019	A01
IPUAN112210W010000000         	U	A	N112210	W01	0	2007	I	000000	Annual index of employment (2007=100) for NAICS 112210, hog and pig farming, U.S. total		1987	A01	2019	A01
IPUAN112210W011000000         	U	A	N112210	W01	1	-	R	000000	Annual percent change of employment for NAICS 112210, hog and pig farming, U.S. total		1988	A01	2019	A01
IPUAN112210W200000000         	U	A	N112210	W20	0	-	E	000000	Annual employment (thousands) for NAICS 112210, hog and pig farming, U.S. total		1987	A01	2019	A01
IPUAN112210W201000000         	U	A	N112210	W20	1	-	R	000000	Annual percent change of employment for NAICS 112210, hog and pig farming, U.S. total		1988	A01	2019	A01
