O*NET-SOC Code	Element ID	Element Name	Scale ID	Category	Data Value	N	Standard Error	Lower CI Bound	Upper CI Bound	Recommend Suppress	Date	Domain Source
11-1021.00	2.D.1	Required Level of Education	RL	1	0.00	42	0.00	n/a	n/a	N	07/2004	Incumbent
11-1021.00	2.D.1	Required Level of Education	RL	2	18.05	42	15.00	2.76	63.06	N	07/2004	Incumbent
11-1021.00	2.D.1	Required Level of Education	RL	3	19.54	42	13.53	4.09	58.00	N	07/2004	Incumbent
11-1021.00	2.D.1	Required Level of Education	RL	4	11.37	42	9.25	1.97	45.01	N	07/2004	Incumbent
11-1021.00	2.D.1	Required Level of Education	RL	5	3.46	42	2.83	0.64	16.58	N	07/2004	Incumbent
11-1021.00	2.D.1	Required Level of Education	RL	6	34.71	42	14.11	13.13	65.15	N	07/2004	Incumbent
11-1021.00	2.D.1	Required Level of Education	RL	7	6.94	42	6.80	0.88	38.44	N	07/2004	Incumbent
11-1021.00	2.D.1	Required Level of Education	RL	8	4.94	42	3.77	1.02	20.80	N	07/2004	Incumbent
11-1021.00	2.D.1	Required Level of Education	RL	9	0.00	42	0.00	n/a	n/a	N	07/2004	Incumbent
11-1021.00	2.D.1	Required Level of Education	RL	10	0.50	42	0.52	0.06	4.01	N	07/2004	Incumbent
11-1021.00	2.D.1	Required Level of Education	RL	11	0.49	42	0.51	0.06	3.90	N	07/2004	Incumbent
11-1021.00	2.D.1	Required Level of Education	RL	12	0.00	42	0.00	n/a	n/a	N	07/2004	Incumbent
11-1021.00	3.A.1	Related Work Experience	RW	1	0.00	42	0.00	n/a	n/a	N	07/2004	Incumbent
11-1021.00	3.A.1	Related Work Experience	RW	2	0.00	42	0.00	n/a	n/a	N	07/2004	Incumbent
11-1021.00	3.A.1	Related Work Experience	RW	3	0.00	42	0.00	n/a	n/a	N	07/2004	Incumbent
11-1021.00	3.A.1	Related Work Experience	RW	4	0.00	42	0.00	n/a	n/a	N	07/2004	Incumbent
11-1021.00	3.A.1	Related Work Experience	RW	5	21.77	42	15.05	4.46	62.37	N	07/2004	Incumbent
11-1021.00	3.A.1	Related Work Experience	RW	6	3.57	42	2.86	0.69	16.52	N	07/2004	Incumbent
11-1021.00	3.A.1	Related Work Experience	RW	7	14.84	42	9.66	3.59	44.94	N	07/2004	Incumbent
11-1021.00	3.A.1	Related Work Experience	RW	8	7.55	42	6.83	1.12	37.03	N	07/2004	Incumbent
11-1021.00	3.A.1	Related Work Experience	RW	9	35.59	42	15.99	11.90	69.33	N	07/2004	Incumbent
11-1021.00	3.A.1	Related Work Experience	RW	10	7.88	42	4.79	2.20	24.51	N	07/2004	Incumbent
11-1021.00	3.A.1	Related Work Experience	RW	11	8.80	42	4.64	2.92	23.66	N	07/2004	Incumbent
11-1021.00	3.A.2	On-Site or In-Plant Training	PT	1	4.19	42	3.06	0.93	16.92	N	07/2004	Incumbent
11-1021.00	3.A.2	On-Site or In-Plant Training	PT	2	25.42	42	13.51	7.48	58.97	N	07/2004	Incumbent
11-1021.00	3.A.2	On-Site or In-Plant Training	PT	3	6.99	42	4.70	1.72	24.43	N	07/2004	Incumbent
11-1021.00	3.A.2	On-Site or In-Plant Training	PT	4	10.35	42	7.12	2.39	35.23	N	07/2004	Incumbent
11-1021.00	3.A.2	On-Site or In-Plant Training	PT	5	20.87	42	15.02	4.03	62.34	N	07/2004	Incumbent
11-1021.00	3.A.2	On-Site or In-Plant Training	PT	6	13.71	42	9.75	2.92	45.61	N	07/2004	Incumbent
11-1021.00	3.A.2	On-Site or In-Plant Training	PT	7	16.64	42	13.33	2.78	58.17	N	07/2004	Incumbent
11-1021.00	3.A.2	On-Site or In-Plant Training	PT	8	1.60	42	1.20	0.35	7.07	N	07/2004	Incumbent
11-1021.00	3.A.2	On-Site or In-Plant Training	PT	9	0.24	42	0.25	0.03	1.92	N	07/2004	Incumbent
11-1021.00	3.A.3	On-the-Job Training	OJ	1	0.27	42	0.28	0.03	2.18	N	07/2004	Incumbent
11-1021.00	3.A.3	On-the-Job Training	OJ	2	6.86	42	4.22	1.90	21.85	N	07/2004	Incumbent
11-1021.00	3.A.3	On-the-Job Training	OJ	3	4.30	42	2.34	1.40	12.43	N	07/2004	Incumbent
11-1021.00	3.A.3	On-the-Job Training	OJ	4	28.03	42	14.26	8.54	61.88	N	07/2004	Incumbent
11-1021.00	3.A.3	On-the-Job Training	OJ	5	41.30	42	15.55	16.15	71.99	N	07/2004	Incumbent
11-1021.00	3.A.3	On-the-Job Training	OJ	6	1.66	42	1.22	0.37	7.09	N	07/2004	Incumbent
11-1021.00	3.A.3	On-the-Job Training	OJ	7	1.11	42	1.14	0.14	8.36	N	07/2004	Incumbent
11-1021.00	3.A.3	On-the-Job Training	OJ	8	16.25	42	13.29	2.63	58.24	N	07/2004	Incumbent
11-1021.00	3.A.3	On-the-Job Training	OJ	9	0.24	42	0.25	0.03	1.92	N	07/2004	Incumbent
11-2011.00	2.D.1	Required Level of Education	RL	1	0.00	38	0.00	n/a	n/a	N	12/2004	Incumbent
11-2011.00	2.D.1	Required Level of Education	RL	2	1.94	38	1.63	0.35	10.05	N	12/2004	Incumbent
11-2011.00	2.D.1	Required Level of Education	RL	3	0.00	38	0.00	n/a	n/a	N	12/2004	Incumbent
11-2011.00	2.D.1	Required Level of Education	RL	4	11.12	38	6.48	3.21	32.07	N	12/2004	Incumbent
11-2011.00	2.D.1	Required Level of Education	RL	5	15.25	38	11.41	2.92	51.83	N	12/2004	Incumbent
11-2011.00	2.D.1	Required Level of Education	RL	6	71.28	38	14.94	36.14	91.59	N	12/2004	Incumbent
11-2011.00	2.D.1	Required Level of Education	RL	7	0.19	38	0.21	0.02	1.72	N	12/2004	Incumbent
11-2011.00	2.D.1	Required Level of Education	RL	8	0.21	38	0.23	0.02	1.89	N	12/2004	Incumbent
11-2011.00	2.D.1	Required Level of Education	RL	9	0.00	38	0.00	n/a	n/a	N	12/2004	Incumbent
11-2011.00	2.D.1	Required Level of Education	RL	10	0.00	38	0.00	n/a	n/a	N	12/2004	Incumbent
11-2011.00	2.D.1	Required Level of Education	RL	11	0.00	38	0.00	n/a	n/a	N	12/2004	Incumbent
11-2011.00	2.D.1	Required Level of Education	RL	12	0.00	38	0.00	n/a	n/a	N	12/2004	Incumbent
11-2011.00	3.A.1	Related Work Experience	RW	1	0.00	39	0.00	n/a	n/a	N	12/2004	Incumbent
11-2011.00	3.A.1	Related Work Experience	RW	2	0.00	39	0.00	n/a	n/a	N	12/2004	Incumbent
11-2011.00	3.A.1	Related Work Experience	RW	3	0.00	39	0.00	n/a	n/a	N	12/2004	Incumbent
11-2011.00	3.A.1	Related Work Experience	RW	4	0.00	39	0.00	n/a	n/a	N	12/2004	Incumbent
11-2011.00	3.A.1	Related Work Experience	RW	5	1.23	39	1.33	0.14	10.24	N	12/2004	Incumbent
11-2011.00	3.A.1	Related Work Experience	RW	6	29.49	39	16.07	8.04	66.66	N	12/2004	Incumbent
11-2011.00	3.A.1	Related Work Experience	RW	7	10.53	39	6.86	2.63	33.96	N	12/2004	Incumbent
11-2011.00	3.A.1	Related Work Experience	RW	8	11.28	39	6.24	3.47	31.00	N	12/2004	Incumbent
11-2011.00	3.A.1	Related Work Experience	RW	9	4.41	39	3.34	0.92	18.66	N	12/2004	Incumbent
11-2011.00	3.A.1	Related Work Experience	RW	10	40.40	39	24.82	7.76	84.53	Y	12/2004	Incumbent
11-2011.00	3.A.1	Related Work Experience	RW	11	2.66	39	2.70	0.33	18.40	N	12/2004	Incumbent
11-2011.00	3.A.2	On-Site or In-Plant Training	PT	1	40.88	39	24.66	8.06	84.51	Y	12/2004	Incumbent
11-2011.00	3.A.2	On-Site or In-Plant Training	PT	2	13.71	39	10.25	2.68	47.86	N	12/2004	Incumbent
11-2011.00	3.A.2	On-Site or In-Plant Training	PT	3	15.98	39	9.18	4.55	43.15	N	12/2004	Incumbent
11-2011.00	3.A.2	On-Site or In-Plant Training	PT	4	14.69	39	7.95	4.55	38.35	N	12/2004	Incumbent
11-2011.00	3.A.2	On-Site or In-Plant Training	PT	5	14.55	39	11.01	2.75	50.57	N	12/2004	Incumbent
11-2011.00	3.A.2	On-Site or In-Plant Training	PT	6	0.19	39	0.21	0.02	1.76	N	12/2004	Incumbent
11-2011.00	3.A.2	On-Site or In-Plant Training	PT	7	0.00	39	0.00	n/a	n/a	N	12/2004	Incumbent
11-2011.00	3.A.2	On-Site or In-Plant Training	PT	8	0.00	39	0.00	n/a	n/a	N	12/2004	Incumbent
11-2011.00	3.A.2	On-Site or In-Plant Training	PT	9	0.00	39	0.00	n/a	n/a	N	12/2004	Incumbent
11-2011.00	3.A.3	On-the-Job Training	OJ	1	4.24	39	4.31	0.51	27.57	N	12/2004	Incumbent
11-2011.00	3.A.3	On-the-Job Training	OJ	2	56.66	39	19.46	20.81	86.67	Y	12/2004	Incumbent
11-2011.00	3.A.3	On-the-Job Training	OJ	3	3.62	39	2.18	1.05	11.76	N	12/2004	Incumbent
11-2011.00	3.A.3	On-the-Job Training	OJ	4	13.62	39	7.51	4.15	36.46	N	12/2004	Incumbent
11-2011.00	3.A.3	On-the-Job Training	OJ	5	21.39	39	12.70	5.57	55.65	N	12/2004	Incumbent
11-2011.00	3.A.3	On-the-Job Training	OJ	6	0.18	39	0.20	0.02	1.65	N	12/2004	Incumbent
11-2011.00	3.A.3	On-the-Job Training	OJ	7	0.00	39	0.00	n/a	n/a	N	12/2004	Incumbent
11-2011.00	3.A.3	On-the-Job Training	OJ	8	0.29	39	0.25	0.05	1.63	N	12/2004	Incumbent
11-2011.00	3.A.3	On-the-Job Training	OJ	9	0.00	39	0.00	n/a	n/a	N	12/2004	Incumbent
11-2021.00	2.D.1	Required Level of Education	RL	1	0.00	16	0.00	n/a	n/a	N	07/2004	Incumbent
11-2021.00	2.D.1	Required Level of Education	RL	2	6.39	16	6.44	0.68	40.37	N	07/2004	Incumbent
11-2021.00	2.D.1	Required Level of Education	RL	3	3.44	16	3.57	0.36	26.00	N	07/2004	Incumbent
11-2021.00	2.D.1	Required Level of Education	RL	4	14.45	16	13.47	1.63	63.26	N	07/2004	Incumbent
11-2021.00	2.D.1	Required Level of Education	RL	5	0.00	16	0.00	n/a	n/a	N	07/2004	Incumbent
11-2021.00	2.D.1	Required Level of Education	RL	6	75.72	16	14.97	35.48	94.65	N	07/2004	Incumbent
11-2021.00	2.D.1	Required Level of Education	RL	7	0.00	16	0.00	n/a	n/a	N	07/2004	Incumbent
11-2021.00	2.D.1	Required Level of Education	RL	8	0.00	16	0.00	n/a	n/a	N	07/2004	Incumbent
11-2021.00	2.D.1	Required Level of Education	RL	9	0.00	16	0.00	n/a	n/a	N	07/2004	Incumbent
11-2021.00	2.D.1	Required Level of Education	RL	10	0.00	16	0.00	n/a	n/a	N	07/2004	Incumbent
11-2021.00	2.D.1	Required Level of Education	RL	11	0.00	16	0.00	n/a	n/a	N	07/2004	Incumbent
11-2021.00	2.D.1	Required Level of Education	RL	12	0.00	16	0.00	n/a	n/a	N	07/2004	Incumbent
11-2021.00	3.A.1	Related Work Experience	RW	1	0.00	17	0.00	n/a	n/a	N	07/2004	Incumbent
11-2021.00	3.A.1	Related Work Experience	RW	2	0.00	17	0.00	n/a	n/a	N	07/2004	Incumbent
11-2021.00	3.A.1	Related Work Experience	RW	3	0.00	17	0.00	n/a	n/a	N	07/2004	Incumbent
11-2021.00	3.A.1	Related Work Experience	RW	4	0.00	17	0.00	n/a	n/a	N	07/2004	Incumbent
11-2021.00	3.A.1	Related Work Experience	RW	5	12.58	17	9.71	2.16	48.34	N	07/2004	Incumbent
11-2021.00	3.A.1	Related Work Experience	RW	6	3.83	17	3.78	0.45	25.98	N	07/2004	Incumbent
11-2021.00	3.A.1	Related Work Experience	RW	7	37.98	17	14.92	13.78	70.12	N	07/2004	Incumbent
11-2021.00	3.A.1	Related Work Experience	RW	8	3.18	17	2.91	0.44	19.58	N	07/2004	Incumbent
11-2021.00	3.A.1	Related Work Experience	RW	9	22.55	17	13.08	5.62	58.75	N	07/2004	Incumbent
11-2021.00	3.A.1	Related Work Experience	RW	10	13.09	17	12.26	1.51	59.66	N	07/2004	Incumbent
11-2021.00	3.A.1	Related Work Experience	RW	11	6.80	17	5.35	1.20	30.43	N	07/2004	Incumbent
11-2021.00	3.A.2	On-Site or In-Plant Training	PT	1	40.63	17	17.08	13.24	75.43	N	07/2004	Incumbent
11-2021.00	3.A.2	On-Site or In-Plant Training	PT	2	7.72	17	7.56	0.87	44.26	N	07/2004	Incumbent
11-2021.00	3.A.2	On-Site or In-Plant Training	PT	3	25.04	17	16.57	4.89	68.47	N	07/2004	Incumbent
11-2021.00	3.A.2	On-Site or In-Plant Training	PT	4	15.69	17	8.75	4.38	43.06	N	07/2004	Incumbent
11-2021.00	3.A.2	On-Site or In-Plant Training	PT	5	9.46	17	8.19	1.36	44.22	N	07/2004	Incumbent
11-2021.00	3.A.2	On-Site or In-Plant Training	PT	6	1.45	17	1.25	0.23	8.52	N	07/2004	Incumbent
11-2021.00	3.A.2	On-Site or In-Plant Training	PT	7	0.00	17	0.00	n/a	n/a	N	07/2004	Incumbent
11-2021.00	3.A.2	On-Site or In-Plant Training	PT	8	0.00	17	0.00	n/a	n/a	N	07/2004	Incumbent
11-2021.00	3.A.2	On-Site or In-Plant Training	PT	9	0.00	17	0.00	n/a	n/a	N	07/2004	Incumbent
11-2021.00	3.A.3	On-the-Job Training	OJ	1	9.82	17	9.18	1.20	49.49	N	07/2004	Incumbent
11-2021.00	3.A.3	On-the-Job Training	OJ	2	8.82	17	6.32	1.80	33.86	N	07/2004	Incumbent
11-2021.00	3.A.3	On-the-Job Training	OJ	3	39.46	17	14.35	15.43	69.96	N	07/2004	Incumbent
11-2021.00	3.A.3	On-the-Job Training	OJ	4	6.13	17	5.85	0.75	36.03	N	07/2004	Incumbent
11-2021.00	3.A.3	On-the-Job Training	OJ	5	22.09	17	16.34	3.65	67.96	N	07/2004	Incumbent
11-2021.00	3.A.3	On-the-Job Training	OJ	6	10.92	17	8.16	2.03	42.07	N	07/2004	Incumbent
11-2021.00	3.A.3	On-the-Job Training	OJ	7	2.75	17	2.85	0.30	21.26	N	07/2004	Incumbent
11-2021.00	3.A.3	On-the-Job Training	OJ	8	0.00	17	0.00	n/a	n/a	N	07/2004	Incumbent
11-2021.00	3.A.3	On-the-Job Training	OJ	9	0.00	17	0.00	n/a	n/a	N	07/2004	Incumbent
11-2022.00	2.D.1	Required Level of Education	RL	1	0.00	25	0.00	n/a	n/a	N	03/2003	Incumbent
11-2022.00	2.D.1	Required Level of Education	RL	2	18.97	25	14.84	3.09	63.20	N	03/2003	Incumbent
11-2022.00	2.D.1	Required Level of Education	RL	3	7.36	25	6.07	1.25	33.27	N	03/2003	Incumbent
11-2022.00	2.D.1	Required Level of Education	RL	4	48.04	25	22.32	12.74	85.41	Y	03/2003	Incumbent
11-2022.00	2.D.1	Required Level of Education	RL	5	2.23	25	1.88	0.38	11.92	N	03/2003	Incumbent
11-2022.00	2.D.1	Required Level of Education	RL	6	10.81	25	6.32	3.03	31.94	N	03/2003	Incumbent
11-2022.00	2.D.1	Required Level of Education	RL	7	0.00	25	0.00	n/a	n/a	N	03/2003	Incumbent
11-2022.00	2.D.1	Required Level of Education	RL	8	12.59	25	11.36	1.68	54.80	N	03/2003	Incumbent
11-2022.00	2.D.1	Required Level of Education	RL	9	0.00	25	0.00	n/a	n/a	N	03/2003	Incumbent
11-2022.00	2.D.1	Required Level of Education	RL	10	0.00	25	0.00	n/a	n/a	N	03/2003	Incumbent
11-2022.00	2.D.1	Required Level of Education	RL	11	0.00	25	0.00	n/a	n/a	N	03/2003	Incumbent
11-2022.00	2.D.1	Required Level of Education	RL	12	0.00	25	0.00	n/a	n/a	N	03/2003	Incumbent
11-2022.00	3.A.1	Related Work Experience	RW	1	0.00	25	0.00	n/a	n/a	N	03/2003	Incumbent
11-2022.00	3.A.1	Related Work Experience	RW	2	0.00	25	0.00	n/a	n/a	N	03/2003	Incumbent
11-2022.00	3.A.1	Related Work Experience	RW	3	0.00	25	0.00	n/a	n/a	N	03/2003	Incumbent
11-2022.00	3.A.1	Related Work Experience	RW	4	38.26	25	24.97	6.53	84.60	Y	03/2003	Incumbent
11-2022.00	3.A.1	Related Work Experience	RW	5	1.04	25	1.12	0.11	9.09	N	03/2003	Incumbent
11-2022.00	3.A.1	Related Work Experience	RW	6	12.30	25	7.06	3.50	35.13	N	03/2003	Incumbent
11-2022.00	3.A.1	Related Work Experience	RW	7	20.68	25	14.93	3.83	63.04	N	03/2003	Incumbent
11-2022.00	3.A.1	Related Work Experience	RW	8	9.25	25	5.32	2.68	27.40	N	03/2003	Incumbent
11-2022.00	3.A.1	Related Work Experience	RW	9	0.72	25	0.78	0.08	6.44	N	03/2003	Incumbent
11-2022.00	3.A.1	Related Work Experience	RW	10	1.16	25	1.26	0.12	10.10	N	03/2003	Incumbent
11-2022.00	3.A.1	Related Work Experience	RW	11	16.60	25	12.54	2.98	56.34	N	03/2003	Incumbent
11-2022.00	3.A.2	On-Site or In-Plant Training	PT	1	17.96	25	14.67	2.73	63.08	N	03/2003	Incumbent
11-2022.00	3.A.2	On-Site or In-Plant Training	PT	2	59.31	25	19.23	21.97	88.30	Y	03/2003	Incumbent
11-2022.00	3.A.2	On-Site or In-Plant Training	PT	3	12.73	25	7.98	3.21	39.12	N	03/2003	Incumbent
11-2022.00	3.A.2	On-Site or In-Plant Training	PT	4	3.14	25	2.27	0.69	13.16	N	03/2003	Incumbent
11-2022.00	3.A.2	On-Site or In-Plant Training	PT	5	1.68	25	1.39	0.30	8.80	N	03/2003	Incumbent
11-2022.00	3.A.2	On-Site or In-Plant Training	PT	6	4.02	25	3.26	0.72	19.37	N	03/2003	Incumbent
11-2022.00	3.A.2	On-Site or In-Plant Training	PT	7	0.00	25	0.00	n/a	n/a	N	03/2003	Incumbent
11-2022.00	3.A.2	On-Site or In-Plant Training	PT	8	1.16	25	1.26	0.12	10.10	N	03/2003	Incumbent
11-2022.00	3.A.2	On-Site or In-Plant Training	PT	9	0.00	25	0.00	n/a	n/a	N	03/2003	Incumbent
11-2022.00	3.A.3	On-the-Job Training	OJ	1	15.32	25	14.43	1.79	64.26	Y	03/2003	Incumbent
11-2022.00	3.A.3	On-the-Job Training	OJ	2	14.60	25	11.67	2.42	54.14	N	03/2003	Incumbent
11-2022.00	3.A.3	On-the-Job Training	OJ	3	49.00	25	22.12	13.38	85.66	Y	03/2003	Incumbent
11-2022.00	3.A.3	On-the-Job Training	OJ	4	5.46	25	3.96	1.17	21.92	N	03/2003	Incumbent
11-2022.00	3.A.3	On-the-Job Training	OJ	5	8.16	25	5.41	1.96	28.26	N	03/2003	Incumbent
11-2022.00	3.A.3	On-the-Job Training	OJ	6	3.95	25	3.63	0.57	22.87	N	03/2003	Incumbent
11-2022.00	3.A.3	On-the-Job Training	OJ	7	0.75	25	0.81	0.08	6.56	N	03/2003	Incumbent
11-2022.00	3.A.3	On-the-Job Training	OJ	8	2.77	25	2.28	0.49	14.02	N	03/2003	Incumbent
11-2022.00	3.A.3	On-the-Job Training	OJ	9	0.00	25	0.00	n/a	n/a	N	03/2003	Incumbent
11-2031.00	2.D.1	Required Level of Education	RL	1	0.00	25	0.00	n/a	n/a	N	12/2004	Incumbent
11-2031.00	2.D.1	Required Level of Education	RL	2	59.65	25	26.26	13.46	93.35	Y	12/2004	Incumbent
11-2031.00	2.D.1	Required Level of Education	RL	3	0.00	25	0.00	n/a	n/a	N	12/2004	Incumbent
11-2031.00	2.D.1	Required Level of Education	RL	4	2.54	25	2.94	0.22	23.25	N	12/2004	Incumbent
11-2031.00	2.D.1	Required Level of Education	RL	5	1.91	25	2.22	0.17	18.35	N	12/2004	Incumbent
11-2031.00	2.D.1	Required Level of Education	RL	6	16.90	25	13.66	2.66	60.23	N	12/2004	Incumbent
11-2031.00	2.D.1	Required Level of Education	RL	7	2.37	25	2.20	0.34	14.67	N	12/2004	Incumbent
11-2031.00	2.D.1	Required Level of Education	RL	8	13.69	25	14.04	1.35	64.83	Y	12/2004	Incumbent
11-2031.00	2.D.1	Required Level of Education	RL	9	0.00	25	0.00	n/a	n/a	N	12/2004	Incumbent
11-2031.00	2.D.1	Required Level of Education	RL	10	0.00	25	0.00	n/a	n/a	N	12/2004	Incumbent
11-2031.00	2.D.1	Required Level of Education	RL	11	2.93	25	3.38	0.26	25.93	N	12/2004	Incumbent
11-2031.00	2.D.1	Required Level of Education	RL	12	0.00	25	0.00	n/a	n/a	N	12/2004	Incumbent
11-2031.00	3.A.1	Related Work Experience	RW	1	0.00	26	0.00	n/a	n/a	N	12/2004	Incumbent
11-2031.00	3.A.1	Related Work Experience	RW	2	0.00	26	0.00	n/a	n/a	N	12/2004	Incumbent
11-2031.00	3.A.1	Related Work Experience	RW	3	0.00	26	0.00	n/a	n/a	N	12/2004	Incumbent
11-2031.00	3.A.1	Related Work Experience	RW	4	0.00	26	0.00	n/a	n/a	N	12/2004	Incumbent
11-2031.00	3.A.1	Related Work Experience	RW	5	51.65	26	27.08	10.27	90.89	Y	12/2004	Incumbent
11-2031.00	3.A.1	Related Work Experience	RW	6	3.71	26	2.95	0.70	17.42	N	12/2004	Incumbent
11-2031.00	3.A.1	Related Work Experience	RW	7	10.16	26	9.80	1.22	50.82	N	12/2004	Incumbent
11-2031.00	3.A.1	Related Work Experience	RW	8	26.25	26	18.94	4.53	72.74	Y	12/2004	Incumbent
11-2031.00	3.A.1	Related Work Experience	RW	9	2.32	26	2.51	0.24	18.92	N	12/2004	Incumbent
11-2031.00	3.A.1	Related Work Experience	RW	10	3.27	26	3.11	0.44	20.35	N	12/2004	Incumbent
11-2031.00	3.A.1	Related Work Experience	RW	11	2.64	26	2.07	0.51	12.45	N	12/2004	Incumbent
11-2031.00	3.A.2	On-Site or In-Plant Training	PT	1	6.79	26	5.01	1.41	27.09	N	12/2004	Incumbent
11-2031.00	3.A.2	On-Site or In-Plant Training	PT	2	12.48	26	12.04	1.45	57.99	N	12/2004	Incumbent
11-2031.00	3.A.2	On-Site or In-Plant Training	PT	3	11.87	26	10.38	1.71	50.98	N	12/2004	Incumbent
11-2031.00	3.A.2	On-Site or In-Plant Training	PT	4	54.50	26	25.97	12.17	91.20	Y	12/2004	Incumbent
11-2031.00	3.A.2	On-Site or In-Plant Training	PT	5	13.40	26	13.66	1.35	63.62	Y	12/2004	Incumbent
11-2031.00	3.A.2	On-Site or In-Plant Training	PT	6	0.96	26	1.09	0.09	9.24	N	12/2004	Incumbent
11-2031.00	3.A.2	On-Site or In-Plant Training	PT	7	0.00	26	0.00	n/a	n/a	N	12/2004	Incumbent
11-2031.00	3.A.2	On-Site or In-Plant Training	PT	8	0.00	26	0.00	n/a	n/a	N	12/2004	Incumbent
11-2031.00	3.A.2	On-Site or In-Plant Training	PT	9	0.00	26	0.00	n/a	n/a	N	12/2004	Incumbent
11-2031.00	3.A.3	On-the-Job Training	OJ	1	5.56	26	4.18	1.13	23.27	N	12/2004	Incumbent
11-2031.00	3.A.3	On-the-Job Training	OJ	2	27.11	26	19.17	4.80	73.27	Y	12/2004	Incumbent
11-2031.00	3.A.3	On-the-Job Training	OJ	3	3.55	26	3.08	0.57	19.04	N	12/2004	Incumbent
11-2031.00	3.A.3	On-the-Job Training	OJ	4	52.23	26	26.86	10.64	90.94	Y	12/2004	Incumbent
11-2031.00	3.A.3	On-the-Job Training	OJ	5	10.56	26	9.95	1.33	50.84	N	12/2004	Incumbent
11-2031.00	3.A.3	On-the-Job Training	OJ	6	0.96	26	1.09	0.09	9.24	N	12/2004	Incumbent
11-2031.00	3.A.3	On-the-Job Training	OJ	7	0.03	26	0.04	0.00	0.34	N	12/2004	Incumbent
11-2031.00	3.A.3	On-the-Job Training	OJ	8	0.00	26	0.00	n/a	n/a	N	12/2004	Incumbent
11-2031.00	3.A.3	On-the-Job Training	OJ	9	0.00	26	0.00	n/a	n/a	N	12/2004	Incumbent
11-3011.00	2.D.1	Required Level of Education	RL	1	1.44	30	1.53	0.16	11.69	N	03/2003	Incumbent
11-3011.00	2.D.1	Required Level of Education	RL	2	22.90	30	12.26	6.69	55.15	N	03/2003	Incumbent
11-3011.00	2.D.1	Required Level of Education	RL	3	36.56	30	22.14	7.56	80.23	Y	03/2003	Incumbent
11-3011.00	2.D.1	Required Level of Education	RL	4	3.37	30	2.55	0.69	14.77	N	03/2003	Incumbent
