ONET-SOC Code	Item	Response	N	Percent	Date
11-2022.00	O*NET-SOC Establishment Response Rate	n/a	n/a	64.1	3/2003
11-2022.00	O*NET-SOC Employee Response Rate	n/a	n/a	60.4	3/2003
11-2022.00	O*NET-SOC Case Completeness Rate	n/a	n/a	89.6	3/2003
11-2022.00	Total Completes for O*NET-SOC	n/a	86	n/a	3/2003
11-2022.00	Data Collection Mode	Paper	76	88.4	3/2003
11-2022.00	Data Collection Mode	Web	10	11.6	3/2003
11-2022.00	How Long at Current Job	10 Years or More	33	38.4	3/2003
11-2022.00	How Long at Current Job	6-9 Years	8	9.3	3/2003
11-2022.00	How Long at Current Job	1-5 Years	37	43	3/2003
11-2022.00	How Long at Current Job	<1 Year	8	9.3	3/2003
11-2022.00	How Long at Current Job	Missing	0	0	3/2003
11-2022.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Agriculture, Forestry, Fishing (01-09)	0	0	3/2003
11-2022.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Mining (10-14)	0	0	3/2003
11-2022.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Construction (15-17)	4	4.7	3/2003
11-2022.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Manufacturing (20-39)	29	33.7	3/2003
11-2022.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Transportation, Communication, Electric, Gas, and Sanitary Services (40-49)	4	4.7	3/2003
11-2022.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Wholesale Trade (50-51)	24	27.9	3/2003
11-2022.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Retail Trade (52-59)	13	15.1	3/2003
11-2022.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Financial, Insurance and Real Estate (60-67)	2	2.3	3/2003
11-2022.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Services (70-89)	10	11.6	3/2003
11-2022.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Public Administration (90-97)	0	0	3/2003
11-2022.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Non-Classifiable (99)	0	0	3/2003
11-3011.00	O*NET-SOC Establishment Response Rate	n/a	n/a	68.8	3/2003
11-3011.00	O*NET-SOC Employee Response Rate	n/a	n/a	79.6	3/2003
11-3011.00	O*NET-SOC Case Completeness Rate	n/a	n/a	71.7	3/2003
11-3011.00	Total Completes for O*NET-SOC	n/a	114	n/a	3/2003
11-3011.00	Data Collection Mode	Paper	93	81.6	3/2003
11-3011.00	Data Collection Mode	Web	21	18.4	3/2003
11-3011.00	How Long at Current Job	10 Years or More	44	38.6	3/2003
11-3011.00	How Long at Current Job	6-9 Years	21	18.4	3/2003
11-3011.00	How Long at Current Job	1-5 Years	38	33.3	3/2003
11-3011.00	How Long at Current Job	<1 Year	11	9.6	3/2003
11-3011.00	How Long at Current Job	Missing	0	0	3/2003
11-3011.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Agriculture, Forestry, Fishing (01-09)	2	1.8	3/2003
11-3011.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Mining (10-14)	0	0	3/2003
11-3011.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Construction (15-17)	4	3.5	3/2003
11-3011.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Manufacturing (20-39)	12	10.5	3/2003
11-3011.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Transportation, Communication, Electric, Gas, and Sanitary Services (40-49)	3	2.6	3/2003
11-3011.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Wholesale Trade (50-51)	1	.9	3/2003
11-3011.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Retail Trade (52-59)	2	1.8	3/2003
11-3011.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Financial, Insurance and Real Estate (60-67)	7	6.1	3/2003
11-3011.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Services (70-89)	52	45.6	3/2003
11-3011.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Public Administration (90-97)	31	27.2	3/2003
11-3011.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Non-Classifiable (99)	0	0	3/2003
11-3051.00	O*NET-SOC Establishment Response Rate	n/a	n/a	60.2	3/2003
11-3051.00	O*NET-SOC Employee Response Rate	n/a	n/a	68.5	3/2003
