O*NET-SOC Code	Element ID	Element Name	Scale ID	Data Value	Date	Domain Source
11-1011.01	1.B.1.a	Realistic	OI	2	3/2002	Legacy Analyst
11-1011.01	1.B.1.b	Investigative	OI	3	3/2002	Legacy Analyst
11-1011.01	1.B.1.c	Artistic	OI	2.33	3/2002	Legacy Analyst
11-1011.01	1.B.1.d	Social	OI	5	3/2002	Legacy Analyst
11-1011.01	1.B.1.e	Enterprising	OI	6.66	3/2002	Legacy Analyst
11-1011.01	1.B.1.f	Conventional	OI	5.66	3/2002	Legacy Analyst
11-1011.01	1.B.1.g	First Interest High-Point	IH	5	3/2002	Legacy Analyst
11-1011.01	1.B.1.h	Second Interest High-Point	IH	6	3/2002	Legacy Analyst
11-1011.01	1.B.1.i	Third Interest High-Point	IH	4	3/2002	Legacy Analyst
11-1011.02	1.B.1.a	Realistic	OI	2.66	3/2002	Legacy Analyst
11-1011.02	1.B.1.b	Investigative	OI	3.33	3/2002	Legacy Analyst
11-1011.02	1.B.1.c	Artistic	OI	2.33	3/2002	Legacy Analyst
11-1011.02	1.B.1.d	Social	OI	4.33	3/2002	Legacy Analyst
11-1011.02	1.B.1.e	Enterprising	OI	7	3/2002	Legacy Analyst
11-1011.02	1.B.1.f	Conventional	OI	5.66	3/2002	Legacy Analyst
11-1011.02	1.B.1.g	First Interest High-Point	IH	5	3/2002	Legacy Analyst
11-1011.02	1.B.1.h	Second Interest High-Point	IH	6	3/2002	Legacy Analyst
11-1011.02	1.B.1.i	Third Interest High-Point	IH	4	3/2002	Legacy Analyst
11-2011.00	1.B.1.a	Realistic	OI	2	3/2002	Legacy Analyst
11-2011.00	1.B.1.b	Investigative	OI	3.33	3/2002	Legacy Analyst
11-2011.00	1.B.1.c	Artistic	OI	6.33	3/2002	Legacy Analyst
11-2011.00	1.B.1.d	Social	OI	4	3/2002	Legacy Analyst
11-2011.00	1.B.1.e	Enterprising	OI	5.33	3/2002	Legacy Analyst
11-2011.00	1.B.1.f	Conventional	OI	3.66	3/2002	Legacy Analyst
11-2011.00	1.B.1.g	First Interest High-Point	IH	3	3/2002	Legacy Analyst
11-2011.00	1.B.1.h	Second Interest High-Point	IH	5	3/2002	Legacy Analyst
11-2011.00	1.B.1.i	Third Interest High-Point	IH	0	3/2002	Legacy Analyst
11-2021.00	1.B.1.a	Realistic	OI	2	3/2002	Legacy Analyst
11-2021.00	1.B.1.b	Investigative	OI	2	3/2002	Legacy Analyst
11-2021.00	1.B.1.c	Artistic	OI	3	3/2002	Legacy Analyst
11-2021.00	1.B.1.d	Social	OI	3.33	3/2002	Legacy Analyst
11-2021.00	1.B.1.e	Enterprising	OI	6.33	3/2002	Legacy Analyst
11-2021.00	1.B.1.f	Conventional	OI	5.66	3/2002	Legacy Analyst
11-2021.00	1.B.1.g	First Interest High-Point	IH	5	3/2002	Legacy Analyst
11-2021.00	1.B.1.h	Second Interest High-Point	IH	6	3/2002	Legacy Analyst
11-2021.00	1.B.1.i	Third Interest High-Point	IH	0	3/2002	Legacy Analyst
11-2022.00	1.B.1.a	Realistic	OI	1.66	3/2002	Legacy Analyst
11-2022.00	1.B.1.b	Investigative	OI	2	3/2002	Legacy Analyst
11-2022.00	1.B.1.c	Artistic	OI	2.33	3/2002	Legacy Analyst
11-2022.00	1.B.1.d	Social	OI	3.66	3/2002	Legacy Analyst
11-2022.00	1.B.1.e	Enterprising	OI	7	3/2002	Legacy Analyst
11-2022.00	1.B.1.f	Conventional	OI	5.66	3/2002	Legacy Analyst
11-2022.00	1.B.1.g	First Interest High-Point	IH	5	3/2002	Legacy Analyst
11-2022.00	1.B.1.h	Second Interest High-Point	IH	6	3/2002	Legacy Analyst
11-2022.00	1.B.1.i	Third Interest High-Point	IH	0	3/2002	Legacy Analyst
11-3011.00	1.B.1.a	Realistic	OI	2	3/2002	Legacy Analyst
11-3011.00	1.B.1.b	Investigative	OI	2.66	3/2002	Legacy Analyst
11-3011.00	1.B.1.c	Artistic	OI	2	3/2002	Legacy Analyst
11-3011.00	1.B.1.d	Social	OI	4	3/2002	Legacy Analyst
11-3011.00	1.B.1.e	Enterprising	OI	6.33	3/2002	Legacy Analyst
11-3011.00	1.B.1.f	Conventional	OI	6	3/2002	Legacy Analyst
11-3011.00	1.B.1.g	First Interest High-Point	IH	5	3/2002	Legacy Analyst
11-3011.00	1.B.1.h	Second Interest High-Point	IH	6	3/2002	Legacy Analyst
11-3011.00	1.B.1.i	Third Interest High-Point	IH	4	3/2002	Legacy Analyst
11-3021.00	1.B.1.a	Realistic	OI	4.33	3/2002	Legacy Analyst
11-3021.00	1.B.1.b	Investigative	OI	5	3/2002	Legacy Analyst
11-3021.00	1.B.1.c	Artistic	OI	2	3/2002	Legacy Analyst
11-3021.00	1.B.1.d	Social	OI	3	3/2002	Legacy Analyst
11-3021.00	1.B.1.e	Enterprising	OI	6	3/2002	Legacy Analyst
11-3021.00	1.B.1.f	Conventional	OI	5.66	3/2002	Legacy Analyst
11-3021.00	1.B.1.g	First Interest High-Point	IH	5	3/2002	Legacy Analyst
11-3021.00	1.B.1.h	Second Interest High-Point	IH	6	3/2002	Legacy Analyst
11-3021.00	1.B.1.i	Third Interest High-Point	IH	2	3/2002	Legacy Analyst
11-3031.01	1.B.1.a	Realistic	OI	2	3/2002	Legacy Analyst
11-3031.01	1.B.1.b	Investigative	OI	3	3/2002	Legacy Analyst
11-3031.01	1.B.1.c	Artistic	OI	2	3/2002	Legacy Analyst
11-3031.01	1.B.1.d	Social	OI	3.66	3/2002	Legacy Analyst
11-3031.01	1.B.1.e	Enterprising	OI	7	3/2002	Legacy Analyst
11-3031.01	1.B.1.f	Conventional	OI	5.66	3/2002	Legacy Analyst
11-3031.01	1.B.1.g	First Interest High-Point	IH	5	3/2002	Legacy Analyst
11-3031.01	1.B.1.h	Second Interest High-Point	IH	6	3/2002	Legacy Analyst
11-3031.01	1.B.1.i	Third Interest High-Point	IH	0	3/2002	Legacy Analyst
11-3031.02	1.B.1.a	Realistic	OI	1.66	3/2002	Legacy Analyst
11-3031.02	1.B.1.b	Investigative	OI	2.66	3/2002	Legacy Analyst
11-3031.02	1.B.1.c	Artistic	OI	2	3/2002	Legacy Analyst
11-3031.02	1.B.1.d	Social	OI	3.66	3/2002	Legacy Analyst
11-3031.02	1.B.1.e	Enterprising	OI	6.66	3/2002	Legacy Analyst
11-3031.02	1.B.1.f	Conventional	OI	4.66	3/2002	Legacy Analyst
11-3031.02	1.B.1.g	First Interest High-Point	IH	5	3/2002	Legacy Analyst
11-3031.02	1.B.1.h	Second Interest High-Point	IH	6	3/2002	Legacy Analyst
11-3031.02	1.B.1.i	Third Interest High-Point	IH	4	3/2002	Legacy Analyst
11-3040.00	1.B.1.a	Realistic	OI	1.66	3/2002	Legacy Analyst
11-3040.00	1.B.1.b	Investigative	OI	2.66	3/2002	Legacy Analyst
11-3040.00	1.B.1.c	Artistic	OI	2.66	3/2002	Legacy Analyst
11-3040.00	1.B.1.d	Social	OI	5	3/2002	Legacy Analyst
11-3040.00	1.B.1.e	Enterprising	OI	6.33	3/2002	Legacy Analyst
11-3040.00	1.B.1.f	Conventional	OI	4	3/2002	Legacy Analyst
11-3040.00	1.B.1.g	First Interest High-Point	IH	5	3/2002	Legacy Analyst
11-3040.00	1.B.1.h	Second Interest High-Point	IH	4	3/2002	Legacy Analyst
11-3040.00	1.B.1.i	Third Interest High-Point	IH	6	3/2002	Legacy Analyst
11-3041.00	1.B.1.a	Realistic	OI	1.66	3/2002	Legacy Analyst
11-3041.00	1.B.1.b	Investigative	OI	2.66	3/2002	Legacy Analyst
11-3041.00	1.B.1.c	Artistic	OI	2.66	3/2002	Legacy Analyst
11-3041.00	1.B.1.d	Social	OI	5	3/2002	Legacy Analyst
11-3041.00	1.B.1.e	Enterprising	OI	6.33	3/2002	Legacy Analyst
11-3041.00	1.B.1.f	Conventional	OI	4	3/2002	Legacy Analyst
11-3041.00	1.B.1.g	First Interest High-Point	IH	5	3/2002	Legacy Analyst
11-3041.00	1.B.1.h	Second Interest High-Point	IH	4	3/2002	Legacy Analyst
11-3041.00	1.B.1.i	Third Interest High-Point	IH	6	3/2002	Legacy Analyst
11-3042.00	1.B.1.a	Realistic	OI	1.66	3/2002	Legacy Analyst
11-3042.00	1.B.1.b	Investigative	OI	3	3/2002	Legacy Analyst
11-3042.00	1.B.1.c	Artistic	OI	2.33	3/2002	Legacy Analyst
11-3042.00	1.B.1.d	Social	OI	5.33	3/2002	Legacy Analyst
11-3042.00	1.B.1.e	Enterprising	OI	6.33	3/2002	Legacy Analyst
11-3042.00	1.B.1.f	Conventional	OI	4	3/2002	Legacy Analyst
11-3042.00	1.B.1.g	First Interest High-Point	IH	5	3/2002	Legacy Analyst
11-3042.00	1.B.1.h	Second Interest High-Point	IH	4	3/2002	Legacy Analyst
11-3042.00	1.B.1.i	Third Interest High-Point	IH	6	3/2002	Legacy Analyst
11-3051.00	1.B.1.a	Realistic	OI	3.66	3/2002	Legacy Analyst
11-3051.00	1.B.1.b	Investigative	OI	2.66	3/2002	Legacy Analyst
11-3051.00	1.B.1.c	Artistic	OI	2	3/2002	Legacy Analyst
11-3051.00	1.B.1.d	Social	OI	3	3/2002	Legacy Analyst
11-3051.00	1.B.1.e	Enterprising	OI	6.66	3/2002	Legacy Analyst
11-3051.00	1.B.1.f	Conventional	OI	6	3/2002	Legacy Analyst
11-3051.00	1.B.1.g	First Interest High-Point	IH	5	3/2002	Legacy Analyst
11-3051.00	1.B.1.h	Second Interest High-Point	IH	6	3/2002	Legacy Analyst
11-3051.00	1.B.1.i	Third Interest High-Point	IH	0	3/2002	Legacy Analyst
11-3061.00	1.B.1.a	Realistic	OI	1.66	3/2002	Legacy Analyst
11-3061.00	1.B.1.b	Investigative	OI	2.66	3/2002	Legacy Analyst
11-3061.00	1.B.1.c	Artistic	OI	3	3/2002	Legacy Analyst
11-3061.00	1.B.1.d	Social	OI	4.33	3/2002	Legacy Analyst
11-3061.00	1.B.1.e	Enterprising	OI	5.66	3/2002	Legacy Analyst
11-3061.00	1.B.1.f	Conventional	OI	5.33	3/2002	Legacy Analyst
11-3061.00	1.B.1.g	First Interest High-Point	IH	5	3/2002	Legacy Analyst
11-3061.00	1.B.1.h	Second Interest High-Point	IH	6	3/2002	Legacy Analyst
11-3061.00	1.B.1.i	Third Interest High-Point	IH	4	3/2002	Legacy Analyst
11-3071.01	1.B.1.a	Realistic	OI	3.66	3/2002	Legacy Analyst
11-3071.01	1.B.1.b	Investigative	OI	2.33	3/2002	Legacy Analyst
11-3071.01	1.B.1.c	Artistic	OI	1.66	3/2002	Legacy Analyst
11-3071.01	1.B.1.d	Social	OI	2.66	3/2002	Legacy Analyst
11-3071.01	1.B.1.e	Enterprising	OI	6.33	3/2002	Legacy Analyst
