O*NET-SOC Code	Element ID	Element Name	Scale ID	Category	Data Value	N	Standard Error	Lower CI Bound	Upper CI Bound	Recommend Suppress	Date	Domain Source
11-2022.00	2.D.1	Required Level of Education	RL	1	0	25	0	n/a	n/a	N	3/2003	Incumbent
11-2022.00	2.D.1	Required Level of Education	RL	2	18.97	25	10.67	5.29	49.51	N	3/2003	Incumbent
11-2022.00	2.D.1	Required Level of Education	RL	3	7.36	25	6.68	1.04	37.51	N	3/2003	Incumbent
11-2022.00	2.D.1	Required Level of Education	RL	4	48.04	25	14.59	21.68	75.55	N	3/2003	Incumbent
11-2022.00	2.D.1	Required Level of Education	RL	5	2.23	25	3.53	.08	39.09	N	3/2003	Incumbent
11-2022.00	2.D.1	Required Level of Education	RL	6	10.81	25	8.14	2.08	40.89	N	3/2003	Incumbent
11-2022.00	2.D.1	Required Level of Education	RL	7	0	25	0	n/a	n/a	N	3/2003	Incumbent
11-2022.00	2.D.1	Required Level of Education	RL	8	12.59	25	8.78	2.7	42.77	N	3/2003	Incumbent
11-2022.00	2.D.1	Required Level of Education	RL	9	0	25	0	n/a	n/a	N	3/2003	Incumbent
11-2022.00	2.D.1	Required Level of Education	RL	10	0	25	0	n/a	n/a	N	3/2003	Incumbent
11-2022.00	2.D.1	Required Level of Education	RL	11	0	25	0	n/a	n/a	N	3/2003	Incumbent
11-2022.00	2.D.1	Required Level of Education	RL	12	0	25	0	n/a	n/a	N	3/2003	Incumbent
11-2022.00	3.A.1	Related Work Experience	RW	1	0	25	0	n/a	n/a	N	3/2003	Incumbent
11-2022.00	3.A.1	Related Work Experience	RW	2	0	25	0	n/a	n/a	N	3/2003	Incumbent
11-2022.00	3.A.1	Related Work Experience	RW	3	0	25	0	n/a	n/a	N	3/2003	Incumbent
11-2022.00	3.A.1	Related Work Experience	RW	4	38.26	25	13.94	15.49	67.69	N	3/2003	Incumbent
11-2022.00	3.A.1	Related Work Experience	RW	5	1.04	25	2.32	.01	52.67	N	3/2003	Incumbent
11-2022.00	3.A.1	Related Work Experience	RW	6	12.3	25	8.68	2.6	42.46	N	3/2003	Incumbent
11-2022.00	3.A.1	Related Work Experience	RW	7	20.68	25	11.09	6.07	51.26	N	3/2003	Incumbent
11-2022.00	3.A.1	Related Work Experience	RW	8	9.25	25	7.52	1.58	39.29	N	3/2003	Incumbent
11-2022.00	3.A.1	Related Work Experience	RW	9	.72	25	1.89	0	63.62	Y	3/2003	Incumbent
11-2022.00	3.A.1	Related Work Experience	RW	10	1.16	25	2.47	.01	49.83	N	3/2003	Incumbent
11-2022.00	3.A.1	Related Work Experience	RW	11	16.6	25	10.03	4.27	47.03	N	3/2003	Incumbent
11-2022.00	3.A.2	On-Site or In-Plant Training	PT	1	17.96	25	10.4	4.85	48.45	N	3/2003	Incumbent
11-2022.00	3.A.2	On-Site or In-Plant Training	PT	2	59.31	25	14.57	29.54	83.52	N	3/2003	Incumbent
11-2022.00	3.A.2	On-Site or In-Plant Training	PT	3	12.73	25	8.83	2.75	42.92	N	3/2003	Incumbent
11-2022.00	3.A.2	On-Site or In-Plant Training	PT	4	3.14	25	4.24	.18	36.64	N	3/2003	Incumbent
11-2022.00	3.A.2	On-Site or In-Plant Training	PT	5	1.68	25	3.02	.04	42.7	N	3/2003	Incumbent
11-2022.00	3.A.2	On-Site or In-Plant Training	PT	6	4.02	25	4.85	.31	35.93	N	3/2003	Incumbent
11-2022.00	3.A.2	On-Site or In-Plant Training	PT	7	0	25	0	n/a	n/a	N	3/2003	Incumbent
11-2022.00	3.A.2	On-Site or In-Plant Training	PT	8	1.16	25	2.47	.01	49.83	N	3/2003	Incumbent
11-2022.00	3.A.2	On-Site or In-Plant Training	PT	9	0	25	0	n/a	n/a	N	3/2003	Incumbent
11-2022.00	3.A.3	On-the-Job Training	OJ	1	15.32	25	9.66	3.75	45.67	N	3/2003	Incumbent
11-2022.00	3.A.3	On-the-Job Training	OJ	2	14.6	25	9.44	3.46	44.91	N	3/2003	Incumbent
11-2022.00	3.A.3	On-the-Job Training	OJ	3	49	25	14.62	22.31	76.27	N	3/2003	Incumbent
11-2022.00	3.A.3	On-the-Job Training	OJ	4	5.46	25	5.71	.59	36.16	N	3/2003	Incumbent
11-2022.00	3.A.3	On-the-Job Training	OJ	5	8.16	25	7.05	1.26	38.23	N	3/2003	Incumbent
11-2022.00	3.A.3	On-the-Job Training	OJ	6	3.95	25	4.81	.3	35.95	N	3/2003	Incumbent
11-2022.00	3.A.3	On-the-Job Training	OJ	7	.75	25	1.94	0	62.04	Y	3/2003	Incumbent
11-2022.00	3.A.3	On-the-Job Training	OJ	8	2.77	25	3.97	.14	37.33	N	3/2003	Incumbent
11-2022.00	3.A.3	On-the-Job Training	OJ	9	0	25	0	n/a	n/a	N	3/2003	Incumbent
11-3011.00	2.D.1	Required Level of Education	RL	1	1.44	30	2.51	.04	35.25	N	3/2003	Incumbent
11-3011.00	2.D.1	Required Level of Education	RL	2	22.9	30	10.47	8.11	49.98	N	3/2003	Incumbent
11-3011.00	2.D.1	Required Level of Education	RL	3	36.56	30	12.44	16.14	63.32	N	3/2003	Incumbent
11-3011.00	2.D.1	Required Level of Education	RL	4	3.37	30	3.98	.28	29.91	N	3/2003	Incumbent
11-3011.00	2.D.1	Required Level of Education	RL	5	10.06	30	7.09	2.2	35.73	N	3/2003	Incumbent
11-3011.00	2.D.1	Required Level of Education	RL	6	16.57	30	9.06	4.94	43.14	N	3/2003	Incumbent
11-3011.00	2.D.1	Required Level of Education	RL	7	9.1	30	6.74	1.86	34.63	N	3/2003	Incumbent
11-3011.00	2.D.1	Required Level of Education	RL	8	0	30	0	n/a	n/a	N	3/2003	Incumbent
11-3011.00	2.D.1	Required Level of Education	RL	9	0	30	0	n/a	n/a	N	3/2003	Incumbent
11-3011.00	2.D.1	Required Level of Education	RL	10	0	30	0	n/a	n/a	N	3/2003	Incumbent
11-3011.00	2.D.1	Required Level of Education	RL	11	0	30	0	n/a	n/a	N	3/2003	Incumbent
11-3011.00	2.D.1	Required Level of Education	RL	12	0	30	0	n/a	n/a	N	3/2003	Incumbent
11-3011.00	3.A.1	Related Work Experience	RW	1	.48	30	1.38	0	62.99	Y	3/2003	Incumbent
11-3011.00	3.A.1	Related Work Experience	RW	2	0	30	0	n/a	n/a	N	3/2003	Incumbent
11-3011.00	3.A.1	Related Work Experience	RW	3	0	30	0	n/a	n/a	N	3/2003	Incumbent
11-3011.00	3.A.1	Related Work Experience	RW	4	31.97	30	11.92	13.28	59.05	N	3/2003	Incumbent
11-3011.00	3.A.1	Related Work Experience	RW	5	13.83	30	8.31	3.71	40.04	N	3/2003	Incumbent
11-3011.00	3.A.1	Related Work Experience	RW	6	8.59	30	6.54	1.68	34.06	N	3/2003	Incumbent
11-3011.00	3.A.1	Related Work Experience	RW	7	6.36	30	5.59	.98	31.69	N	3/2003	Incumbent
11-3011.00	3.A.1	Related Work Experience	RW	8	35.53	30	12.34	15.48	62.38	N	3/2003	Incumbent
11-3011.00	3.A.1	Related Work Experience	RW	9	.46	30	1.34	0	64.72	Y	3/2003	Incumbent
11-3011.00	3.A.1	Related Work Experience	RW	10	.84	30	1.87	.01	45.38	N	3/2003	Incumbent
11-3011.00	3.A.1	Related Work Experience	RW	11	1.94	30	2.96	.08	32.15	N	3/2003	Incumbent
11-3011.00	3.A.2	On-Site or In-Plant Training	PT	1	22.86	30	10.47	8.09	49.94	N	3/2003	Incumbent
11-3011.00	3.A.2	On-Site or In-Plant Training	PT	2	20.34	30	9.95	6.78	47.27	N	3/2003	Incumbent
11-3011.00	3.A.2	On-Site or In-Plant Training	PT	3	41.49	30	12.86	19.36	67.69	N	3/2003	Incumbent
11-3011.00	3.A.2	On-Site or In-Plant Training	PT	4	2.08	30	3.07	.1	31.63	N	3/2003	Incumbent
11-3011.00	3.A.2	On-Site or In-Plant Training	PT	5	10.46	30	7.24	2.35	36.19	N	3/2003	Incumbent
11-3011.00	3.A.2	On-Site or In-Plant Training	PT	6	.48	30	1.38	0	62.99	Y	3/2003	Incumbent
11-3011.00	3.A.2	On-Site or In-Plant Training	PT	7	2.28	30	3.23	.12	31.09	N	3/2003	Incumbent
11-3011.00	3.A.2	On-Site or In-Plant Training	PT	8	0	30	0	n/a	n/a	N	3/2003	Incumbent
11-3011.00	3.A.2	On-Site or In-Plant Training	PT	9	0	30	0	n/a	n/a	N	3/2003	Incumbent
11-3011.00	3.A.3	On-the-Job Training	OJ	1	4.72	31	4.69	.58	29.43	N	3/2003	Incumbent
11-3011.00	3.A.3	On-the-Job Training	OJ	2	14.86	31	8.45	4.27	40.57	N	3/2003	Incumbent
11-3011.00	3.A.3	On-the-Job Training	OJ	3	48.41	31	12.96	24.54	73.04	N	3/2003	Incumbent
11-3011.00	3.A.3	On-the-Job Training	OJ	4	18.49	31	9.36	6	44.64	N	3/2003	Incumbent
11-3011.00	3.A.3	On-the-Job Training	OJ	5	3.2	31	3.81	.27	28.93	N	3/2003	Incumbent
11-3011.00	3.A.3	On-the-Job Training	OJ	6	.39	31	1.21	0	68.13	Y	3/2003	Incumbent
11-3011.00	3.A.3	On-the-Job Training	OJ	7	9.09	31	6.62	1.91	33.9	N	3/2003	Incumbent
11-3011.00	3.A.3	On-the-Job Training	OJ	8	.84	31	1.83	.01	43.2	N	3/2003	Incumbent
11-3011.00	3.A.3	On-the-Job Training	OJ	9	0	31	0	n/a	n/a	N	3/2003	Incumbent
11-3051.00	2.D.1	Required Level of Education	RL	1	0	22	0	n/a	n/a	N	3/2003	Incumbent
11-3051.00	2.D.1	Required Level of Education	RL	2	20.56	22	11.87	5.4	53.98	N	3/2003	Incumbent
