O*NET-SOC Code	Element ID	Element Name	Scale ID	Data Value	N	Standard Error	Lower CI Bound	Upper CI Bound	Recommend Suppress	Date	Domain Source
11-2022.00	1.C.1.a	Achievement/Effort	IM	2.93	25	.33	2.22	3.58	N	3/2003	Incumbent
11-2022.00	1.C.1.b	Persistence	IM	3.39	25	.31	2.76	4.04	N	3/2003	Incumbent
11-2022.00	1.C.1.c	Initiative	IM	3.2	25	.36	2.46	3.94	N	3/2003	Incumbent
11-2022.00	1.C.2.b	Leadership	IM	3.11	25	.35	2.38	3.82	N	3/2003	Incumbent
11-2022.00	1.C.3.a	Cooperation	IM	3.7	25	.28	3.12	4.28	N	3/2003	Incumbent
11-2022.00	1.C.3.b	Concern for Others	IM	4	25	.25	3.48	4.52	N	3/2003	Incumbent
11-2022.00	1.C.3.c	Social Orientation	IM	2.84	25	.33	2.12	3.48	N	3/2003	Incumbent
11-2022.00	1.C.4.a	Self Control	IM	4.37	25	.2	3.99	4.81	N	3/2003	Incumbent
11-2022.00	1.C.4.b	Stress Tolerance	IM	3	25	.33	2.32	3.68	N	3/2003	Incumbent
11-2022.00	1.C.4.c	Adaptability/Flexibility	IM	3.35	25	.31	2.76	4.04	N	3/2003	Incumbent
11-2022.00	1.C.5.a	Dependability	IM	3.24	25	.37	2.44	3.96	N	3/2003	Incumbent
11-2022.00	1.C.5.b	Attention to Detail	IM	4.61	25	.16	4.27	4.93	N	3/2003	Incumbent
11-2022.00	1.C.5.c	Integrity	IM	4.59	25	.16	4.27	4.93	N	3/2003	Incumbent
11-2022.00	1.C.6	Independence	IM	3.73	25	.28	3.12	4.28	N	3/2003	Incumbent
11-2022.00	1.C.7.a	Innovation	IM	3.68	24	.29	3.1	4.3	N	3/2003	Incumbent
11-2022.00	1.C.7.b	Analytical Thinking	IM	4.1	25	.24	3.6	4.6	N	3/2003	Incumbent
11-3011.00	1.C.1.a	Achievement/Effort	IM	3.65	31	.26	3.07	4.13	N	3/2003	Incumbent
11-3011.00	1.C.1.b	Persistence	IM	3.91	31	.23	3.43	4.37	N	3/2003	Incumbent
11-3011.00	1.C.1.c	Initiative	IM	4.22	31	.2	3.79	4.61	N	3/2003	Incumbent
11-3011.00	1.C.2.b	Leadership	IM	4.68	31	.13	4.43	4.97	N	3/2003	Incumbent
11-3011.00	1.C.3.a	Cooperation	IM	4.43	31	.17	4.05	4.75	N	3/2003	Incumbent
11-3011.00	1.C.3.b	Concern for Others	IM	4.39	31	.18	4.03	4.77	N	3/2003	Incumbent
11-3011.00	1.C.3.c	Social Orientation	IM	4.42	31	.17	4.05	4.75	N	3/2003	Incumbent
11-3011.00	1.C.4.a	Self Control	IM	4.43	31	.17	4.05	4.75	N	3/2003	Incumbent
11-3011.00	1.C.4.b	Stress Tolerance	IM	4.28	31	.19	3.91	4.69	N	3/2003	Incumbent
11-3011.00	1.C.4.c	Adaptability/Flexibility	IM	4.32	31	.19	3.91	4.69	N	3/2003	Incumbent
11-3011.00	1.C.5.a	Dependability	IM	4.69	31	.13	4.43	4.97	N	3/2003	Incumbent
11-3011.00	1.C.5.b	Attention to Detail	IM	4.45	31	.17	4.05	4.75	N	3/2003	Incumbent
11-3011.00	1.C.5.c	Integrity	IM	4.86	31	.08	4.74	5	N	3/2003	Incumbent
11-3011.00	1.C.6	Independence	IM	4.6	31	.14	4.31	4.89	N	3/2003	Incumbent
11-3011.00	1.C.7.a	Innovation	IM	4.03	31	.22	3.55	4.45	N	3/2003	Incumbent
11-3011.00	1.C.7.b	Analytical Thinking	IM	4.24	31	.2	3.79	4.61	N	3/2003	Incumbent
11-3051.00	1.C.1.a	Achievement/Effort	IM	4.09	22	.26	3.56	4.64	N	3/2003	Incumbent
11-3051.00	1.C.1.b	Persistence	IM	4.08	22	.26	3.56	4.64	N	3/2003	Incumbent
11-3051.00	1.C.1.c	Initiative	IM	4.27	22	.23	3.82	4.78	N	3/2003	Incumbent
11-3051.00	1.C.2.b	Leadership	IM	4.53	22	.18	4.13	4.87	N	3/2003	Incumbent
11-3051.00	1.C.3.a	Cooperation	IM	4.23	22	.21	3.76	4.64	N	3/2003	Incumbent
11-3051.00	1.C.3.b	Concern for Others	IM	3.96	22	.27	3.44	4.56	N	3/2003	Incumbent
11-3051.00	1.C.3.c	Social Orientation	IM	3.91	22	.28	3.32	4.48	N	3/2003	Incumbent
11-3051.00	1.C.4.a	Self Control	IM	4.23	22	.21	3.76	4.64	N	3/2003	Incumbent
11-3051.00	1.C.4.b	Stress Tolerance	IM	4.23	22	.24	3.7	4.7	N	3/2003	Incumbent
11-3051.00	1.C.4.c	Adaptability/Flexibility	IM	4.45	22	.2	4.08	4.92	N	3/2003	Incumbent
11-3051.00	1.C.5.a	Dependability	IM	4.26	22	.23	3.82	4.78	N	3/2003	Incumbent
11-3051.00	1.C.5.b	Attention to Detail	IM	4.46	22	.2	4.08	4.92	N	3/2003	Incumbent
11-3051.00	1.C.5.c	Integrity	IM	4.45	22	.2	4.08	4.92	N	3/2003	Incumbent
11-3051.00	1.C.6	Independence	IM	4.14	22	.25	3.58	4.62	N	3/2003	Incumbent
11-3051.00	1.C.7.a	Innovation	IM	3.95	22	.27	3.34	4.46	N	3/2003	Incumbent
11-3051.00	1.C.7.b	Analytical Thinking	IM	3.96	22	.27	3.44	4.56	N	3/2003	Incumbent
11-9111.00	1.C.1.a	Achievement/Effort	IM	4.29	13	.3	3.65	4.95	N	3/2003	Incumbent
11-9111.00	1.C.1.b	Persistence	IM	4.31	13	.29	3.67	4.93	N	3/2003	Incumbent
11-9111.00	1.C.1.c	Initiative	IM	4.36	13	.29	3.77	5	N	3/2003	Incumbent
11-9111.00	1.C.2.b	Leadership	IM	4.91	13	.1	4.68	5	N	3/2003	Incumbent
11-9111.00	1.C.3.a	Cooperation	IM	4.58	13	.23	4.1	5	N	3/2003	Incumbent
11-9111.00	1.C.3.b	Concern for Others	IM	4.56	13	.23	4.1	5	N	3/2003	Incumbent
11-9111.00	1.C.3.c	Social Orientation	IM	4.38	13	.28	3.79	5	N	3/2003	Incumbent
11-9111.00	1.C.4.a	Self Control	IM	4.56	12	.25	4.05	5	N	3/2003	Incumbent
11-9111.00	1.C.4.b	Stress Tolerance	IM	4.32	14	.28	3.7	4.9	N	3/2003	Incumbent
11-9111.00	1.C.4.c	Adaptability/Flexibility	IM	4.59	14	.22	4.12	5	N	3/2003	Incumbent
11-9111.00	1.C.5.a	Dependability	IM	4.84	14	.14	4.5	5	N	3/2003	Incumbent
11-9111.00	1.C.5.b	Attention to Detail	IM	4.95	13	.08	4.73	5	N	3/2003	Incumbent
11-9111.00	1.C.5.c	Integrity	IM	4.75	14	.17	4.33	5	N	3/2003	Incumbent
11-9111.00	1.C.6	Independence	IM	4.38	14	.27	3.82	4.98	N	3/2003	Incumbent
11-9111.00	1.C.7.a	Innovation	IM	4.26	14	.29	3.67	4.93	N	3/2003	Incumbent
11-9111.00	1.C.7.b	Analytical Thinking	IM	4.19	14	.31	3.53	4.87	N	3/2003	Incumbent
13-1022.00	1.C.1.a	Achievement/Effort	IM	3.79	18	.33	3.1	4.5	N	3/2003	Incumbent
13-1022.00	1.C.1.b	Persistence	IM	4.11	18	.28	3.51	4.69	N	3/2003	Incumbent
13-1022.00	1.C.1.c	Initiative	IM	3.89	18	.31	3.25	4.55	N	3/2003	Incumbent
13-1022.00	1.C.2.b	Leadership	IM	3.58	17	.36	2.84	4.36	N	3/2003	Incumbent
13-1022.00	1.C.3.a	Cooperation	IM	4.29	18	.25	3.77	4.83	N	3/2003	Incumbent
13-1022.00	1.C.3.b	Concern for Others	IM	3.61	18	.35	2.86	4.34	N	3/2003	Incumbent
13-1022.00	1.C.3.c	Social Orientation	IM	2.6	18	.4	1.76	3.44	N	3/2003	Incumbent
