Element ID	Element Name	Survey Item Number
1.A.1.a.1	Oral Comprehension	AB01
1.A.1.a.2	Written Comprehension	AB02
1.A.1.a.3	Oral Expression	AB03
1.A.1.a.4	Written Expression	AB04
1.A.1.b.1	Fluency of Ideas	AB05
1.A.1.b.2	Originality	AB06
1.A.1.b.3	Problem Sensitivity	AB07
1.A.1.b.4	Deductive Reasoning	AB08
1.A.1.b.5	Inductive Reasoning	AB09
1.A.1.b.6	Information Ordering	AB10
1.A.1.b.7	Category Flexibility	AB11
1.A.1.c.1	Mathematical Reasoning	AB12
1.A.1.c.2	Number Facility	AB13
1.A.1.d.1	Memorization	AB14
1.A.1.e.1	Speed of Closure	AB15
1.A.1.e.2	Flexibility of Closure	AB16
1.A.1.e.3	Perceptual Speed	AB17
1.A.1.f.1	Spatial Orientation	AB18
1.A.1.f.2	Visualization	AB19
1.A.1.g.1	Selective Attention	AB20
1.A.1.g.2	Time Sharing	AB21
1.A.2.a.1	Arm-Hand Steadiness	AB22
1.A.2.a.2	Manual Dexterity	AB23
1.A.2.a.3	Finger Dexterity	AB24
1.A.2.b.1	Control Precision	AB25
1.A.2.b.2	Multilimb Coordination	AB26
1.A.2.b.3	Response Orientation	AB27
1.A.2.b.4	Rate Control	AB28
1.A.2.c.1	Reaction Time	AB29
1.A.2.c.2	Wrist-Finger Speed	AB30
1.A.2.c.3	Speed of Limb Movement	AB31
1.A.3.a.1	Static Strength	AB32
1.A.3.a.2	Explosive Strength	AB33
1.A.3.a.3	Dynamic Strength	AB34
1.A.3.a.4	Trunk Strength	AB35
1.A.3.b.1	Stamina	AB36
1.A.3.c.1	Extent Flexibility	AB37
1.A.3.c.2	Dynamic Flexibility	AB38
1.A.3.c.3	Gross Body Coordination	AB39
1.A.3.c.4	Gross Body Equilibrium	AB40
1.A.4.a.1	Near Vision	AB41
1.A.4.a.2	Far Vision	AB42
1.A.4.a.3	Visual Color Discrimination	AB43
1.A.4.a.4	Night Vision	AB44
1.A.4.a.5	Peripheral Vision	AB45
1.A.4.a.6	Depth Perception	AB46
1.A.4.a.7	Glare Sensitivity	AB47
1.A.4.b.1	Hearing Sensitivity	AB48
1.A.4.b.2	Auditory Attention	AB49
1.A.4.b.3	Sound Localization	AB50
1.A.4.b.4	Speech Recognition	AB51
1.A.4.b.5	Speech Clarity	AB52
1.C.1.a	Achievement/Effort	KN39
1.C.1.b	Persistence	KN40
