industry_code,industry_text
N2111__,Oil and gas extraction
N211___,Oil and gas extraction
N21211_,Coal mining
N2121__,Coal mining
N2122__,Metal ore mining
N21231_,Stone Mining and Quarrying
N21232_,"Sand, Gravel, Clay, and Ceramic and Refractory Minerals Mining and Quarrying"
N21239_,Other Nonmetallic Mineral Mining and Quarrying
N2123__,Nonmetallic mineral mining and quarrying
N212___,Mining (except oil and gas)
N21311_,Support activities for mining
N2131__,Support activities for mining
N213___,Support activities for mining
N21____,Mining
N2211__,"Electric power generation, transmission and distribution"
N221210,Natural gas distribution
N22121_,Natural gas distribution
N2212__,Natural gas distribution
N2213__,"Water, sewage and other systems"
N221___,Utilities
N22____,Utilities
N31111_,Animal food manufacturing
N3111__,Animal food manufacturing
N3112__,Grain and oilseed milling
N3113__,Sugar and confectionery product manufacturing
N31141_,Frozen food manufacturing
N31142_,"Fruit and vegetable canning, pickling, and drying"
N3114__,Fruit and vegetable preserving and specialty food manufacturing
N3115__,Dairy product manufacturing
N311611,Animal (except poultry) slaughtering
N311615,Poultry processing
N31161_,Animal slaughtering and processing
N3116__,Animal slaughtering and processing
N311710,Seafood product preparation and packaging
N31171_,Seafood product preparation and packaging
N3117__,Seafood product preparation and packaging
N311811,Retail bakeries
N31181_,Bread and bakery product manufacturing
N3118__,Bakeries and tortilla manufacturing
N3119__,Other food manufacturing
N311___,Food manufacturing
N3121__,Beverage manufacturing
N312230,Tobacco manufacturing
N31223_,Tobacco manufacturing
N3122__,Tobacco manufacturing
N312___,Beverage and tobacco product manufacturing
N313110,"Fiber, yarn, and thread mills"
N31311_,"Fiber, yarn, and thread mills"
N3131__,"Fiber, yarn, and thread mills"
N3132__,Fabric mills
N3133__,Textile and fabric finishing and fabric coating mills
N313___,Textile mills
N3141__,Textile furnishings mills
N3149__,Other textile product mills
N314___,Textile product mills
N3151__,Apparel knitting mills
N3152__,Cut and sew apparel manufacturing
N315990,Apparel accessories and other apparel manufacturing
N31599_,Apparel accessories and other apparel manufacturing
N3159__,Apparel accessories and other apparel manufacturing
N315___,Apparel manufacturing
N316110,Leather and hide tanning and finishing
N31611_,Leather and hide tanning and finishing
N3161__,Leather and hide tanning and finishing
N316210,Footwear manufacturing
N31621_,Footwear manufacturing
N3162__,Footwear manufacturing
N31699_,Other leather and allied product manufacturing
N3169__,Other leather and allied product manufacturing
N316___,Leather and allied product manufacturing
N32111_,Sawmills and wood preservation
N3211__,Sawmills and wood preservation
N32121_,"Veneer, plywood, and engineered wood product manufacturing"
N3212__,"Veneer, plywood, and engineered wood product manufacturing"
N321911,Wood windows and doors
N32191_,Millwork
N321920,Wood container and pallet manufacturing
N32192_,Wood container and pallet manufacturing
N32199_,All other wood product manufacturing
N3219__,Other wood product manufacturing
N321___,Wood product manufacturing
N3221__,"Pulp, paper, and paperboard mills"
N322211,Corrugated and solid fiber boxes
N32221_,Paperboard container manufacturing
N3222__,Converted paper product manufacturing
N322___,Paper manufacturing
N3231__,Printing and related support activities
N323___,Printing and related support activities
N324110,Petroleum refineries
N32411_,Petroleum refineries
N3241__,Petroleum and coal products manufacturing
N324___,Petroleum and coal products manufacturing
N3251__,Basic chemical manufacturing
N3252__,"Resin, synthetic rubber, and artificial synthetic fibers and filaments manufacturing"
N3253__,"Pesticide, fertilizer, and other agricultural chemical manufacturing"
N32541_,Pharmaceutical and medicine manufacturing
N3254__,Pharmaceutical and medicine manufacturing
N3255__,"Paint, coating, and adhesive manufacturing"
N3256__,"Soap, cleaning compound, and toilet preparation manufacturing"
N3259__,Other chemical product and preparation manufacturing
N325___,Chemical manufacturing
N32611_,Plastics packaging materials and unlaminated film and sheet manufacturing
N32612_,"Plastics pipe, pipe fitting, and unlaminated profile shape manufacturing"
N32619_,Other plastics product manufacturing
N3261__,Plastics product manufacturing
N3262__,Rubber product manufacturing
N326___,Plastics and rubber products manufacturing
N3271__,Clay product and refractory manufacturing
N32721_,Glass and glass product manufacturing
N3272__,Glass and glass product manufacturing
N327320,Ready-mix concrete manufacturing
N32732_,Ready-mix concrete manufacturing
N3273__,Cement and concrete product manufacturing
N3274__,Lime and gypsum product manufacturing
N3279__,Other nonmetallic mineral product manufacturing
N327___,Nonmetallic mineral product manufacturing
N331110,Iron and steel mills and ferroalloy production
N33111_,Iron and steel mills and ferroalloy production
N3311__,Iron and steel mills and ferroalloy production
N3312__,Steel product manufacturing from purchased steel
N33131_,Alumina and aluminum production and processing
N3313__,Alumina and aluminum production and processing
N3314__,Nonferrous metal (except aluminum) production and processing
N3315__,Foundries
N331___,Primary metal manufacturing
N33211_,Forging and stamping
N3321__,Forging and stamping
N33221_,Cutlery and handtool manufacturing
N3322__,Cutlery and handtool manufacturing
N332312,Fabricated structural metals
N33231_,Plate work and fabricated structural product manufacturing
N332322,Sheet metal work
N33232_,Ornamental and architectural metal products manufacturing
N3323__,Architectural and structural metals manufacturing
N3324__,"Boiler, tank, and shipping container manufacturing"
N332510,Hardware manufacturing
