Rank,Probability,Label,Occupation,SOC Code
130,0.042,,"Software Developers, Applications",151253
131,0.042,,"Fine Artists, Including Painters, Sculptors, and Illustrators",271013
132,0.043,,Psychiatric Technicians,292053
133,0.045,0,Landscape Architects,171012
134,0.045,,Health Educators,211091
135,0.047,,Mathematicians,152021
136,0.047,,Floral Designers,271023
137,0.047,,"Farmers, Ranchers, and Other Agricultural Managers",119013
137,0.047,,"Farmers, Ranchers, and Other Agricultural Managers",119011
137,0.047,,"Farmers, Ranchers, and Other Agricultural Managers",119013
137,0.047,,"Farmers, Ranchers, and Other Agricultural Managers",119012
138,0.048,,Forest Fire Inspectors and Prevention Specialists,332022
139,0.049,,Emergency Medical Technicians and Paramedics,292041
139,0.049,,Emergency Medical Technicians and Paramedics,292042
139,0.049,,Emergency Medical Technicians and Paramedics,292041
139,0.049,,Emergency Medical Technicians and Paramedics,292043
140,0.055,,Editors,273041
141,0.055,,Prosthodontists,291024
142,0.055,0,"Healthcare Practitioners and Technical Workers, All Other",299799
143,0.057,,Travel Guides,397012
143,0.057,,Travel Guides,396022
144,0.058,,Licensed Practical and Licensed Vocational Nurses,292061
145,0.059,,Sociologists,193041
146,0.06,,"Arbitrators, Mediators, and Conciliators",231022
147,0.061,,Animal Scientists,191011
148,0.064,,Residential Advisors,399041
149,0.066,,Aircraft Cargo Handling Supervisors,531011
149,0.066,,Aircraft Cargo Handling Supervisors,531041
150,0.066,,Respiratory Therapists,291126
151,0.067,,Broadcast News Analysts,273021
151,0.067,,Broadcast News Analysts,273023
152,0.069,,Financial Managers,113031
153,0.07,,Nuclear Engineers,172161
154,0.071,,Construction Managers,119021
155,0.074,,Musicians and Singers,272042
156,0.075,,First-Line Supervisors of Non-Retail Sales Workers,411012
157,0.076,,First-Line Supervisors of Personal Service Workers,391021
157,0.076,,First-Line Supervisors of Personal Service Workers,391014
157,0.076,,First-Line Supervisors of Personal Service Workers,391021
157,0.076,,First-Line Supervisors of Personal Service Workers,391022
157,0.076,,First-Line Supervisors of Personal Service Workers,391021
157,0.076,,First-Line Supervisors of Personal Service Workers,531044
158,0.077,,Food Scientists and Technologists,191012
159,0.08,0,Compliance Officers,131041
160,0.08,,Fish and Game Wardens,333031
161,0.082,,Graphic Designers,271024
162,0.083,,Food Service Managers,119051
163,0.084,0,Childcare Workers,399011
164,0.085,,Fitness Trainers and Aerobics Instructors,399031
165,0.091,,Gaming Managers,119071
166,0.097,,Electrical Power-Line Installers and Repairers,499051
167,0.098,,Police and Sheriff’s Patrol Officers,333051
168,0.099,,Travel Agents,413041
169,0.1,0,Chefs and Head Cooks,351011
170,0.1,,Animal Trainers,392011
171,0.1,,Radio and Television Announcers,273011
172,0.1,0,Electrical Engineers,172071
173,0.1,,Chemists,192031
174,0.1,,Respiratory Therapy Technicians,292054
174,0.1,,Respiratory Therapy Technicians,292099
175,0.1,0,Physicists,192012
176,0.11,0,"Hairdressers, Hairstylists, and Cosmetologists",395012
177,0.11,,Reporters and Correspondents,273022
177,0.11,,Reporters and Correspondents,273023
178,0.11,,Air Traffic Controllers,532021
179,0.13,,Dancers,272031
180,0.13,,Nuclear Medicine Technologists,292033
181,0.13,,"Software Developers, Systems Software",151133
181,0.13,,"Software Developers, Systems Software",151032
181,0.13,,"Software Developers, Systems Software",151252
181,0.13,,"Software Developers, Systems Software",151133
181,0.13,,"Software Developers, Systems Software",151032
181,0.13,,"Software Developers, Systems Software",151253
182,0.13,,Management Analysts,131111
183,0.13,,Dietetic Technicians,292051
184,0.13,,Urban and Regional Planners,193051
185,0.13,,Social and Human Service Assistants,211093
186,0.13,,Self-Enrichment Education Teachers,253021
187,0.13,,Sound Engineering Technicians,274014
188,0.14,,Optometrists,291041
189,0.14,,"Mining and Geological Engineers, Including Mining Safety Engineers",172151
190,0.14,,Physician Assistants,291071
191,0.15,,"Kindergarten Teachers, Except Special Education",252012
192,0.15,,Electricians,472111
193,0.16,,Petroleum Engineers,172171
194,0.16,,Desktop Publishers,439031
195,0.16,,General and Operations Managers,111021
196,0.17,,Occupational Health and Safety Specialists,299011
196,0.17,,Occupational Health and Safety Specialists,195011
197,0.17,,Firefighters,332011
198,0.17,,Financial Examiners,132061
199,0.17,,First-Line Supervisors of Construction Trades and Extraction Workers,471011
200,0.17,,"Middle School Teachers, Except Special and Career/Technical Education",252022
201,0.18,,Public Relations Specialists,273031
202,0.18,,Commercial Divers,499092
203,0.18,,Manufactured Building and Mobile Home Installers,499095
204,0.18,,"Airline Pilots, Copilots, and Flight Engineers",532011
205,0.19,,Adult Basic and Secondary Education and Literacy Teachers and Instructors,253011
206,0.2,,Epidemiologists,191041
207,0.2,,"Funeral Service Managers, Directors, Morticians, and Undertakers",394831
208,0.21,,"Information Security Analysts, Web Developers, and Computer Network Architects",151179
209,0.21,,Actuaries,152011
210,0.21,,Animal Control Workers,339011
211,0.21,0,Concierges,396012
212,0.22,,"Computer Occupations, All Other",151799
213,0.22,,Statisticians,152041
214,0.22,,Computer Hardware Engineers,172061
215,0.23,,Survey Researchers,193022
216,0.23,,"Business Operations Specialists, All Other",131199
216,0.23,,"Business Operations Specialists, All Other",131082
217,0.23,,Financial Analysts,132051
217,0.23,,Financial Analysts,132054
218,0.23,,Radiologic Technologists and Technicians,292037
219,0.23,,Cardiovascular Technologists and Technicians,292031
220,0.24,,"Agents and Business Managers of Artists, Performers, and Athletes",131011
221,0.24,,"Engineering Technicians, Except Drafters, All Other",173029
221,0.24,,"Engineering Technicians, Except Drafters, All Other",173028
222,0.25,,Geographers,193092
223,0.25,,Occupational Health and Safety Technicians,299012
223,0.25,,Occupational Health and Safety Technicians,195012
224,0.25,,Probation Officers and Correctional Treatment Specialists,211092
225,0.25,,Environmental Engineering Technicians,173025
226,0.25,,"Managers, All Other",119199
226,0.25,,"Managers, All Other",119072
226,0.25,,"Managers, All Other",119199
226,0.25,,"Managers, All Other",119179
226,0.25,,"Managers, All Other",119199
226,0.25,,"Managers, All Other",131082
227,0.25,,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",533011
228,0.25,,"Sales Representatives, Wholesale and Manufacturing, Technical and",414011
229,0.26,,"Career/Technical Education Teachers, Middle School",252023
230,0.27,,"Captains, Mates, and Pilots of Water Vessels",535021
231,0.27,,Occupational Therapy Aides,312012
232,0.27,,Medical Equipment Repairers,499062
233,0.28,,First-Line Supervisors of Retail Sales Workers,411011
234,0.28,0,Athletes and Sports Competitors,272021
235,0.28,,Gaming Supervisors,391011
235,0.28,,Gaming Supervisors,391013
236,0.29,,Skincare Specialists,395094
237,0.29,,"Wholesale and Retail Buyers, Except Farm Products",131022
238,0.3,,Biological Technicians,194021
239,0.3,,Medical Assistants,319092
240,0.3,0,Zoologists and Wildlife Biologists,191023
241,0.3,,"Cooks, Private Household",352013
242,0.31,,"Human Resources, Training, and Labor Relations Specialists, All Other",131078
243,0.31,,Private Detectives and Investigators,339021
244,0.31,,Film and Video Editors,274032
245,0.33,,"Financial Specialists, All Other",132099
245,0.33,,"Financial Specialists, All Other",132054
246,0.34,,Detectives and Criminal Investigators,333021
247,0.34,,Surgical Technologists,292055
248,0.34,,Radiation Therapists,291124
249,0.35,0,"Plumbers, Pipefitters, and Steamfitters",472152
250,0.35,0,Flight Attendants,532031
250,0.35,0,Flight Attendants,396031
251,0.35,,Diagnostic Medical Sonographers,292032
252,0.36,,Bailiffs,333011
253,0.36,,"Computer Numerically Controlled Machine Tool Programmers, Metal and Plastic",514012
253,0.36,,"Computer Numerically Controlled Machine Tool Programmers, Metal and Plastic",519162
254,0.36,,"Telecommunications Equipment Installers and Repairers, Except Line Installers",492022
255,0.37,,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",519051
256,0.37,,Cleaners of Vehicles and Equipment,537061
257,0.37,,Funeral Attendants,394021
258,0.37,,Helpers–Extraction Workers,475081
259,0.37,,Actors,272011
260,0.37,,Mine Shuttle Car Operators,537111
260,0.37,,Mine Shuttle Car Operators,475044
261,0.38,,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",492095
262,0.38,1,Surveyors,171022
263,0.38,,Mechanical Engineering Technicians,173027
264,0.38,,"Packers and Packagers, Hand",537064
265,0.38,,Interpreters and Translators,273091
266,0.39,,Home Health Aides,311011
266,0.39,,Home Health Aides,311121
267,0.39,,Upholsterers,516093
268,0.39,,Elevator Installers and Repairers,474021
269,0.39,,Gaming Cage Workers,433041
270,0.39,,Audio-Visual and Multimedia Collections Specialists,259011
270,0.39,,Audio-Visual and Multimedia Collections Specialists,254022
271,0.4,0,"Judges, Magistrate Judges, and Magistrates",231023
272,0.4,,"Mobile Heavy Equipment Mechanics, Except Engines",493042
273,0.4,,"Health Technologists and Technicians, All Other",292799
274,0.41,,"Graders and Sorters, Agricultural Products",452041
275,0.41,,Structural Metal Fabricators and Fitters,512041
276,0.41,1,Judicial Law Clerks,231012
276,0.41,1,Judicial Law Clerks,232092
277,0.41,,"Electrical and Electronics Repairers, Commercial and Industrial Equipment",492094
278,0.42,,Forest and Conservation Technicians,194093
278,0.42,,Forest and Conservation Technicians,194071
279,0.42,,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",531021
279,0.42,,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",531042
280,0.43,,"Locker Room, Coatroom, and Dressing Room Attendants",393093
281,0.43,,"Physical Scientists, All Other",192099
282,0.43,0,Economists,193011
283,0.44,,Historians,193093
284,0.45,,Medical Appliance Technicians,519082
285,0.46,,"Court, Municipal, and License Clerks",434031
286,0.47,,"Compensation, Benefits, and Job Analysis Specialists",131141
286,0.47,,"Compensation, Benefits, and Job Analysis Specialists",131072
287,0.47,,Psychiatric Aides,311013
287,0.47,,Psychiatric Aides,311133
288,0.47,,Medical and Clinical Laboratory Technicians,292012
289,0.48,,Fire Inspectors and Investigators,332021
290,0.48,,Aerospace Engineering and Operations Technicians,173021
291,0.48,,Merchandise Displayers and Window Trimmers,271026
292,0.48,,"Explosives Workers, Ordnance Handling Experts, and Blasters",475031
292,0.48,,"Explosives Workers, Ordnance Handling Experts, and Blasters",475032
293,0.48,,Computer Programmers,151131
293,0.48,,Computer Programmers,151021
293,0.48,,Computer Programmers,151251
294,0.49,,Crossing Guards,339091
295,0.49,,Agricultural Engineers,172021
296,0.49,,"Roof Bolters, Mining",475061
296,0.49,,"Roof Bolters, Mining",475043
297,0.49,,Telecommunications Line Installers and Repairers,499052
298,0.49,,"Police, Fire, and Ambulance Dispatchers",435031
299,0.5,,"Loading Machine Operators, Underground Mining",537033
299,0.5,,"Loading Machine Operators, Underground Mining",475044
300,0.5,,"Installation, Maintenance, and Repair Workers, All Other",499799
301,0.5,,Court Reporters,232091
301,0.5,,Court Reporters,273092
302,0.51,,Demonstrators and Product Promoters,419011
303,0.51,,Dental Assistants,319091
304,0.52,,Shoe and Leather Workers and Repairers,516041
305,0.52,,Architectural and Civil Drafters,173011
306,0.53,,"Rotary Drill Operators, Oil and Gas",475012
307,0.53,,Hazardous Materials Removal Workers,474041
308,0.54,,Embalmers,394011
309,0.54,,Continuous Mining Machine Operators,475041
310,0.54,,Slot Supervisors,391012
310,0.54,,Slot Supervisors,391013
311,0.54,,Massage Therapists,319011
312,0.54,,Advertising Sales Agents,413011
313,0.55,,Automotive Glass Installers and Repairers,493022
314,0.55,,Commercial Pilots,532012
315,0.55,,Customer Service Representatives,434051
316,0.55,,Audio and Video Equipment Technicians,274011
317,0.56,,Teacher Assistants,259041
317,0.56,,Teacher Assistants,259042
317,0.56,,Teacher Assistants,259041
317,0.56,,Teacher Assistants,259043
317,0.56,,Teacher Assistants,259041
317,0.56,,Teacher Assistants,259049
318,0.57,,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",451011
319,0.57,,Chemical Technicians,194031
320,0.57,,"Helpers–Pipelayers, Plumbers, Pipefitters, and Steamfitters",473015
321,0.57,1,Cost Estimators,131051
322,0.57,,Transit and Railroad Police,333052
323,0.57,,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",371012
324,0.58,,Personal Financial Advisors,132052
325,0.59,,Millwrights,499044
326,0.59,,Museum Technicians and Conservators,254013
327,0.59,,Mine Cutting and Channeling Machine Operators,475042
327,0.59,,Mine Cutting and Channeling Machine Operators,475049
328,0.59,0,"Transportation, Storage, and Distribution Managers",113071
329,0.59,,Recreational Vehicle Service Technicians,493092
330,0.59,,Automotive Service Technicians and Mechanics,493023
331,0.6,,Correctional Officers and Jailers,333012
332,0.6,,"Camera Operators, Television, Video, and Motion Picture",274031
333,0.6,,Slaughterers and Meat Packers,513023
334,0.61,,"Electronic Equipment Installers and Repairers, Motor Vehicles",492096
335,0.61,,Physical Therapist Aides,312022
336,0.61,,Costume Attendants,393092
337,0.61,1,Market Research Analysts and Marketing Specialists,131161
337,0.61,1,Market Research Analysts and Marketing Specialists,131199
337,0.61,1,Market Research Analysts and Marketing Specialists,131161
337,0.61,1,Market Research Analysts and Marketing Specialists,193021
337,0.61,1,Market Research Analysts and Marketing Specialists,131161
337,0.61,1,Market Research Analysts and Marketing Specialists,273031
338,0.61,,Reservation and Transportation Ticket Agents and Travel Clerks,434181
339,0.61,,Water and Wastewater Treatment Plant and System Operators,518031
340,0.61,,"Life, Physical, and Social Science Technicians, All Other",194099
340,0.61,,"Life, Physical, and Social Science Technicians, All Other",194044
341,0.61,,Food Cooking Machine Operators and Tenders,513093
342,0.61,,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",514122
343,0.62,1,Motorboat Operators,535022
344,0.62,,Tapers,472082
345,0.62,,Pipelayers,472151
346,0.63,,"Geoscientists, Except Hydrologists and Geographers",192042
347,0.63,,"Control and Valve Installers and Repairers, Except Mechanical Door",499012
348,0.63,,"Healthcare Support Workers, All Other",319799
349,0.63,,First-Line Supervisors of Food Preparation and Serving Workers,351012
350,0.63,,Construction and Building Inspectors,474011
351,0.64,,"Cutters and Trimmers, Hand",519031
352,0.64,,"Maintenance and Repair Workers, General",499071
352,0.64,,"Maintenance and Repair Workers, General",499042
353,0.64,,"Administrative Law Judges, Adjudicators, and Hearing Officers",231021
354,0.64,,Stock Clerks and Order Fillers,435081
354,0.64,,Stock Clerks and Order Fillers,537065
355,0.64,,Power Distributors and Dispatchers,518012
356,0.64,,"Insulation Workers, Mechanical",472132
357,0.65,,Social Science Research Assistants,194061
358,0.65,,Machinists,514041
359,0.65,,Computer Support Specialists,151150
360,0.65,,Librarians,254021
360,0.65,,Librarians,254022
361,0.65,,Electronic Home Entertainment Equipment Installers and Repairers,492097
362,0.65,,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",499021
363,0.65,,Hoist and Winch Operators,537041
364,0.66,,Pest Control Workers,372021
365,0.66,,Helpers–Production Workers,519198
366,0.66,,Statistical Assistants,439111
367,0.66,,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",372011
368,0.66,,Motorboat Mechanics and Service Technicians,493051
369,0.67,,"Paper Goods Machine Setters, Operators, and Tenders",519196
370,0.67,,Foundry Mold and Coremakers,514071
371,0.67,,Atmospheric and Space Scientists,192021
372,0.67,1,"Bus Drivers, Transit and Intercity",533021
372,0.67,1,"Bus Drivers, Transit and Intercity",533052
373,0.67,,"Lifeguards, Ski Patrol, and Other Recreational Protective ServiceWorkers",339092
374,0.67,,Industrial Machinery Mechanics,499041
375,0.68,,Postal Service Mail Carriers,435052
376,0.68,,"Roustabouts, Oil and Gas",475071
377,0.68,,Boilermakers,472011
378,0.68,,Mechanical Drafters,173013
379,0.68,,Dental Hygienists,292021
379,0.68,,Dental Hygienists,291292
380,0.69,1,Light Truck or Delivery Services Drivers,533033
381,0.69,0,Maids and Housekeeping Cleaners,372012
382,0.69,,"Painters, Transportation Equipment",519122
382,0.69,,"Painters, Transportation Equipment",519124
383,0.7,,"Eligibility Interviewers, Government Programs",434061
384,0.7,,Tire Repairers and Changers,493093
385,0.7,,Food Batchmakers,513092
386,0.7,,Avionics Technicians,492091
387,0.71,,Aircraft Mechanics and Service Technicians,493011
388,0.71,,Airfield Operations Specialists,532022
389,0.71,,"Petroleum Pump System Operators, Refinery Operators, and Gaugers",518093
390,0.71,,"Construction and Related Workers, All Other",474799
391,0.71,,"Opticians, Dispensing",292081
392,0.71,,Laundry and Dry-Cleaning Workers,516011
393,0.72,,Amusement and Recreation Attendants,393091
394,0.72,,Pharmacy Aides,319095
395,0.72,,Helpers–Roofers,473016
396,0.72,,"Tank Car, Truck, and Ship Loaders",537121
397,0.72,,Home Appliance Repairers,499031
398,0.72,,Carpenters,472031
399,0.72,,Public Address System and Other Announcers,273012
399,0.72,,Public Address System and Other Announcers,273099
400,0.73,,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders",516063
401,0.73,,Administrative Services Managers,113011
401,0.73,,Administrative Services Managers,113012
401,0.73,,Administrative Services Managers,113011
401,0.73,,Administrative Services Managers,113013
402,0.73,,Glaziers,472121
403,0.73,,"Coil Winders, Tapers, and Finishers",512021
404,0.73,,Bus and Truck Mechanics and Diesel Engine Specialists,493031
405,0.74,,"Computer, Automated Teller, and Office Machine Repairers",492011
406,0.74,,Personal Care Aides,399021
406,0.74,,Personal Care Aides,311122
407,0.74,,Broadcast Technicians,274012
408,0.74,,Helpers–Electricians,473013
409,0.75,,Postmasters and Mail Superintendents,119131
410,0.75,,Tile and Marble Setters,472044
411,0.75,,"Painters, Construction and Maintenance",472141
412,0.75,,"Transportation Attendants, Except Flight Attendants",536061
412,0.75,,"Transportation Attendants, Except Flight Attendants",396032
413,0.75,1,Civil Engineering Technicians,173022
414,0.75,,Farm Equipment Mechanics and Service Technicians,493041
415,0.76,,Archivists,254011
416,0.76,,Chemical Equipment Operators and Tenders,519011
417,0.76,,"Electric Motor, Power Tool, and Related Repairers",492092
418,0.76,,Fallers,454021
419,0.77,,"Environmental Science and Protection Technicians, Including Health",194091
419,0.77,,"Environmental Science and Protection Technicians, Including Health",194042
420,0.77,,Locksmiths and Safe Repairers,499094
421,0.77,,Tree Trimmers and Pruners,373013
422,0.77,,Bartenders,353011
423,0.77,,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",131023
424,0.77,1,Dishwashers,359021
425,0.77,0,Hunters and Trappers,453021
425,0.77,0,Hunters and Trappers,453031
426,0.78,,Medical Equipment Preparers,319093
427,0.78,,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",514031
428,0.78,,Computer Operators,439011
428,0.78,,Computer Operators,151299
429,0.78,,Gas Plant Operators,518092
430,0.79,,"Postal Service Mail Sorters, Processors, and Processing Machine Operators",435053
431,0.79,,Heavy and Tractor-Trailer Truck Drivers,533032
432,0.79,,Shampooers,395093
433,0.79,,Drywall and Ceiling Tile Installers,472081
434,0.79,,"Helpers–Installation, Maintenance, and Repair Workers",499098
435,0.79,,Motorcycle Mechanics,493052
436,0.79,,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",512011
437,0.79,,Logging Equipment Operators,454022
438,0.79,,"Floor Layers, Except Carpet, Wood, and Hard Tiles",472042
439,0.8,,Barbers,395011
440,0.8,,"Derrick Operators, Oil and Gas",475011
441,0.81,1,"Cooks, Fast Food",352011
442,0.81,,Word Processors and Typists,439022
443,0.81,1,Electrical and Electronics Drafters,173012
444,0.81,,Electro-Mechanical Technicians,173024
445,0.81,,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",519192
446,0.81,,"Property, Real Estate, and Community Association Managers",119141
447,0.81,,Medical Secretaries,436013
448,0.81,,"Pressers, Textile, Garment, and Related Materials",516021
