Element ID	Element Name	Survey Item Number	Scale ID
1.A.1.a.1	Oral Comprehension	AB01	IM
1.A.1.a.1	Oral Comprehension	AB01	LV
1.A.1.a.2	Written Comprehension	AB02	IM
1.A.1.a.2	Written Comprehension	AB02	LV
1.A.1.a.3	Oral Expression	AB03	IM
1.A.1.a.3	Oral Expression	AB03	LV
1.A.1.a.4	Written Expression	AB04	IM
1.A.1.a.4	Written Expression	AB04	LV
1.A.1.b.1	Fluency of Ideas	AB05	IM
1.A.1.b.1	Fluency of Ideas	AB05	LV
1.A.1.b.2	Originality	AB06	IM
1.A.1.b.2	Originality	AB06	LV
1.A.1.b.3	Problem Sensitivity	AB07	IM
1.A.1.b.3	Problem Sensitivity	AB07	LV
1.A.1.b.4	Deductive Reasoning	AB08	IM
1.A.1.b.4	Deductive Reasoning	AB08	LV
1.A.1.b.5	Inductive Reasoning	AB09	IM
1.A.1.b.5	Inductive Reasoning	AB09	LV
1.A.1.b.6	Information Ordering	AB10	IM
1.A.1.b.6	Information Ordering	AB10	LV
1.A.1.b.7	Category Flexibility	AB11	IM
1.A.1.b.7	Category Flexibility	AB11	LV
1.A.1.c.1	Mathematical Reasoning	AB12	IM
1.A.1.c.1	Mathematical Reasoning	AB12	LV
1.A.1.c.2	Number Facility	AB13	IM
1.A.1.c.2	Number Facility	AB13	LV
1.A.1.d.1	Memorization	AB14	IM
1.A.1.d.1	Memorization	AB14	LV
1.A.1.e.1	Speed of Closure	AB15	IM
1.A.1.e.1	Speed of Closure	AB15	LV
1.A.1.e.2	Flexibility of Closure	AB16	IM
1.A.1.e.2	Flexibility of Closure	AB16	LV
1.A.1.e.3	Perceptual Speed	AB17	IM
1.A.1.e.3	Perceptual Speed	AB17	LV
1.A.1.f.1	Spatial Orientation	AB18	IM
1.A.1.f.1	Spatial Orientation	AB18	LV
1.A.1.f.2	Visualization	AB19	IM
1.A.1.f.2	Visualization	AB19	LV
1.A.1.g.1	Selective Attention	AB20	IM
1.A.1.g.1	Selective Attention	AB20	LV
1.A.1.g.2	Time Sharing	AB21	IM
1.A.1.g.2	Time Sharing	AB21	LV
1.A.2.a.1	Arm-Hand Steadiness	AB22	IM
1.A.2.a.1	Arm-Hand Steadiness	AB22	LV
1.A.2.a.2	Manual Dexterity	AB23	IM
1.A.2.a.2	Manual Dexterity	AB23	LV
1.A.2.a.3	Finger Dexterity	AB24	IM
1.A.2.a.3	Finger Dexterity	AB24	LV
1.A.2.b.1	Control Precision	AB25	IM
1.A.2.b.1	Control Precision	AB25	LV
1.A.2.b.2	Multilimb Coordination	AB26	IM
1.A.2.b.2	Multilimb Coordination	AB26	LV
1.A.2.b.3	Response Orientation	AB27	IM
1.A.2.b.3	Response Orientation	AB27	LV
1.A.2.b.4	Rate Control	AB28	IM
1.A.2.b.4	Rate Control	AB28	LV
1.A.2.c.1	Reaction Time	AB29	IM
1.A.2.c.1	Reaction Time	AB29	LV
1.A.2.c.2	Wrist-Finger Speed	AB30	IM
1.A.2.c.2	Wrist-Finger Speed	AB30	LV
1.A.2.c.3	Speed of Limb Movement	AB31	IM
1.A.2.c.3	Speed of Limb Movement	AB31	LV
1.A.3.a.1	Static Strength	AB32	IM
