O*NET-SOC Code	Element ID	Element Name	Scale ID	Data Value	N	Standard Error	Lower CI Bound	Upper CI Bound	Recommend Suppress	Date	Domain Source
11-1021.00	1.C.1.a	Achievement/Effort	IM	3.83	41	.18	3.48	4.19	N	7/2004	Incumbent
11-1021.00	1.C.1.b	Persistence	IM	3.91	42	.24	3.42	4.4	N	7/2004	Incumbent
11-1021.00	1.C.1.c	Initiative	IM	4.56	42	.19	4.18	4.94	N	7/2004	Incumbent
11-1021.00	1.C.2.b	Leadership	IM	4.78	42	.14	4.49	5	N	7/2004	Incumbent
11-1021.00	1.C.3.a	Cooperation	IM	4.51	42	.16	4.19	4.84	N	7/2004	Incumbent
11-1021.00	1.C.3.b	Concern for Others	IM	4.46	42	.2	4.05	4.86	N	7/2004	Incumbent
11-1021.00	1.C.3.c	Social Orientation	IM	4.36	42	.26	3.82	4.89	N	7/2004	Incumbent
11-1021.00	1.C.4.a	Self Control	IM	4.54	42	.16	4.21	4.87	N	7/2004	Incumbent
11-1021.00	1.C.4.b	Stress Tolerance	IM	4.42	42	.15	4.11	4.72	N	7/2004	Incumbent
11-1021.00	1.C.4.c	Adaptability/Flexibility	IM	4.02	42	.21	3.6	4.44	N	7/2004	Incumbent
11-1021.00	1.C.5.a	Dependability	IM	4.91	42	.05	4.8	5	N	7/2004	Incumbent
11-1021.00	1.C.5.b	Attention to Detail	IM	4.62	42	.17	4.27	4.98	N	7/2004	Incumbent
11-1021.00	1.C.5.c	Integrity	IM	4.71	41	.17	4.37	5	N	7/2004	Incumbent
11-1021.00	1.C.6	Independence	IM	4.45	41	.19	4.06	4.84	N	7/2004	Incumbent
11-1021.00	1.C.7.a	Innovation	IM	4.02	41	.27	3.48	4.55	N	7/2004	Incumbent
11-1021.00	1.C.7.b	Analytical Thinking	IM	4.45	41	.24	3.97	4.94	N	7/2004	Incumbent
11-2011.00	1.C.1.a	Achievement/Effort	IM	4.22	39	.17	3.87	4.56	N	12/2004	Incumbent
11-2011.00	1.C.1.b	Persistence	IM	4.24	39	.17	3.89	4.59	N	12/2004	Incumbent
11-2011.00	1.C.1.c	Initiative	IM	4.28	39	.18	3.92	4.65	N	12/2004	Incumbent
11-2011.00	1.C.2.b	Leadership	IM	4.02	39	.17	3.68	4.36	N	12/2004	Incumbent
11-2011.00	1.C.3.a	Cooperation	IM	4.25	38	.13	3.98	4.52	N	12/2004	Incumbent
11-2011.00	1.C.3.b	Concern for Others	IM	4.01	39	.13	3.75	4.28	N	12/2004	Incumbent
11-2011.00	1.C.3.c	Social Orientation	IM	3.85	39	.17	3.5	4.2	N	12/2004	Incumbent
11-2011.00	1.C.4.a	Self Control	IM	4.26	39	.17	3.91	4.6	N	12/2004	Incumbent
11-2011.00	1.C.4.b	Stress Tolerance	IM	4.25	39	.17	3.91	4.59	N	12/2004	Incumbent
