O*NET-SOC Code	Element ID	Element Name	Scale ID	Category	Data Value	N	Standard Error	Lower CI Bound	Upper CI Bound	Recommend Suppress	Date	Domain Source
11-1021.00	2.D.1	Required Level of Education	RL	1	0	42	0	n/a	n/a	N	7/2004	Incumbent
11-1021.00	2.D.1	Required Level of Education	RL	2	18.05	42	15	2.76	63.06	N	7/2004	Incumbent
11-1021.00	2.D.1	Required Level of Education	RL	3	19.54	42	13.53	4.09	58	N	7/2004	Incumbent
11-1021.00	2.D.1	Required Level of Education	RL	4	11.37	42	9.25	1.97	45.01	N	7/2004	Incumbent
11-1021.00	2.D.1	Required Level of Education	RL	5	3.46	42	2.83	.64	16.58	N	7/2004	Incumbent
11-1021.00	2.D.1	Required Level of Education	RL	6	34.71	42	14.11	13.13	65.15	N	7/2004	Incumbent
11-1021.00	2.D.1	Required Level of Education	RL	7	6.94	42	6.8	.88	38.44	N	7/2004	Incumbent
11-1021.00	2.D.1	Required Level of Education	RL	8	4.94	42	3.77	1.02	20.8	N	7/2004	Incumbent
11-1021.00	2.D.1	Required Level of Education	RL	9	0	42	0	n/a	n/a	N	7/2004	Incumbent
11-1021.00	2.D.1	Required Level of Education	RL	10	.5	42	.52	.06	4.01	N	7/2004	Incumbent
11-1021.00	2.D.1	Required Level of Education	RL	11	.49	42	.51	.06	3.9	N	7/2004	Incumbent
11-1021.00	2.D.1	Required Level of Education	RL	12	0	42	0	n/a	n/a	N	7/2004	Incumbent
11-1021.00	3.A.1	Related Work Experience	RW	1	0	42	0	n/a	n/a	N	7/2004	Incumbent
11-1021.00	3.A.1	Related Work Experience	RW	2	0	42	0	n/a	n/a	N	7/2004	Incumbent
11-1021.00	3.A.1	Related Work Experience	RW	3	0	42	0	n/a	n/a	N	7/2004	Incumbent
11-1021.00	3.A.1	Related Work Experience	RW	4	0	42	0	n/a	n/a	N	7/2004	Incumbent
11-1021.00	3.A.1	Related Work Experience	RW	5	21.77	42	15.05	4.46	62.37	N	7/2004	Incumbent
11-1021.00	3.A.1	Related Work Experience	RW	6	3.57	42	2.86	.69	16.52	N	7/2004	Incumbent
11-1021.00	3.A.1	Related Work Experience	RW	7	14.84	42	9.66	3.59	44.94	N	7/2004	Incumbent
11-1021.00	3.A.1	Related Work Experience	RW	8	7.55	42	6.83	1.12	37.03	N	7/2004	Incumbent
11-1021.00	3.A.1	Related Work Experience	RW	9	35.59	42	15.99	11.9	69.33	N	7/2004	Incumbent
11-1021.00	3.A.1	Related Work Experience	RW	10	7.88	42	4.79	2.2	24.51	N	7/2004	Incumbent
11-1021.00	3.A.1	Related Work Experience	RW	11	8.8	42	4.64	2.92	23.66	N	7/2004	Incumbent
11-1021.00	3.A.2	On-Site or In-Plant Training	PT	1	4.19	42	3.06	.93	16.92	N	7/2004	Incumbent
11-1021.00	3.A.2	On-Site or In-Plant Training	PT	2	25.42	42	13.51	7.48	58.97	N	7/2004	Incumbent
