O*NET-SOC Code	Element ID	Element Name	Scale ID	Category	Data Value	N	Standard Error	Lower CI Bound	Upper CI Bound	Recommend Suppress	Date	Domain Source
11-1011.00	2.D.1	Required Level of Education	RL	1	0.00	30	0.00	n/a	n/a	N	06/2006	Incumbent
11-1011.00	2.D.1	Required Level of Education	RL	2	0.00	30	0.00	n/a	n/a	N	06/2006	Incumbent
11-1011.00	2.D.1	Required Level of Education	RL	3	0.53	30	0.57	0.06	4.69	N	06/2006	Incumbent
11-1011.00	2.D.1	Required Level of Education	RL	4	2.77	30	2.39	0.46	14.86	N	06/2006	Incumbent
11-1011.00	2.D.1	Required Level of Education	RL	5	0.09	30	0.09	0.01	0.78	N	06/2006	Incumbent
11-1011.00	2.D.1	Required Level of Education	RL	6	50.34	30	20.55	15.87	84.49	Y	06/2006	Incumbent
11-1011.00	2.D.1	Required Level of Education	RL	7	13.40	30	12.71	1.62	59.25	N	06/2006	Incumbent
11-1011.00	2.D.1	Required Level of Education	RL	8	24.68	30	14.29	6.37	61.22	N	06/2006	Incumbent
11-1011.00	2.D.1	Required Level of Education	RL	9	0.00	30	0.00	n/a	n/a	N	06/2006	Incumbent
11-1011.00	2.D.1	Required Level of Education	RL	10	6.76	30	6.87	0.77	40.24	N	06/2006	Incumbent
11-1011.00	2.D.1	Required Level of Education	RL	11	1.43	30	1.40	0.19	9.99	N	06/2006	Incumbent
11-1011.00	2.D.1	Required Level of Education	RL	12	0.00	30	0.00	n/a	n/a	N	06/2006	Incumbent
11-1011.00	3.A.1	Related Work Experience	RW	1	0.00	30	0.00	n/a	n/a	N	06/2006	Incumbent
11-1011.00	3.A.1	Related Work Experience	RW	2	0.00	30	0.00	n/a	n/a	N	06/2006	Incumbent
11-1011.00	3.A.1	Related Work Experience	RW	3	0.00	30	0.00	n/a	n/a	N	06/2006	Incumbent
11-1011.00	3.A.1	Related Work Experience	RW	4	0.00	30	0.00	n/a	n/a	N	06/2006	Incumbent
11-1011.00	3.A.1	Related Work Experience	RW	5	0.00	30	0.00	n/a	n/a	N	06/2006	Incumbent
11-1011.00	3.A.1	Related Work Experience	RW	6	0.00	30	0.00	n/a	n/a	N	06/2006	Incumbent
11-1011.00	3.A.1	Related Work Experience	RW	7	2.68	30	2.41	0.42	15.39	N	06/2006	Incumbent
11-1011.00	3.A.1	Related Work Experience	RW	8	28.63	30	17.17	6.71	69.10	N	06/2006	Incumbent
11-1011.00	3.A.1	Related Work Experience	RW	9	3.16	30	2.22	0.73	12.55	N	06/2006	Incumbent
11-1011.00	3.A.1	Related Work Experience	RW	10	14.68	30	12.82	2.08	58.24	N	06/2006	Incumbent
11-1011.00	3.A.1	Related Work Experience	RW	11	50.86	30	20.42	16.29	84.62	Y	06/2006	Incumbent
11-1011.00	3.A.2	On-Site or In-Plant Training	PT	1	24.90	30	14.97	6.06	63.03	N	06/2006	Incumbent
11-1011.00	3.A.2	On-Site or In-Plant Training	PT	2	3.38	30	2.56	0.70	14.79	N	06/2006	Incumbent
11-1011.00	3.A.2	On-Site or In-Plant Training	PT	3	2.16	30	2.24	0.25	16.18	N	06/2006	Incumbent
11-1011.00	3.A.2	On-Site or In-Plant Training	PT	4	15.49	30	12.94	2.37	58.05	N	06/2006	Incumbent
11-1011.00	3.A.2	On-Site or In-Plant Training	PT	5	3.21	30	2.01	0.87	11.09	N	06/2006	Incumbent
11-1011.00	3.A.2	On-Site or In-Plant Training	PT	6	0.45	30	0.42	0.07	2.94	N	06/2006	Incumbent
11-1011.00	3.A.2	On-Site or In-Plant Training	PT	7	13.64	30	12.91	1.65	59.76	N	06/2006	Incumbent
11-1011.00	3.A.2	On-Site or In-Plant Training	PT	8	3.93	30	2.60	0.99	14.35	N	06/2006	Incumbent
11-1011.00	3.A.2	On-Site or In-Plant Training	PT	9	32.85	30	23.58	5.21	81.33	Y	06/2006	Incumbent
11-1011.00	3.A.3	On-the-Job Training	OJ	1	21.60	30	14.37	4.63	60.98	N	06/2006	Incumbent
11-1011.00	3.A.3	On-the-Job Training	OJ	2	0.00	30	0.00	n/a	n/a	N	06/2006	Incumbent
11-1011.00	3.A.3	On-the-Job Training	OJ	3	1.56	30	1.29	0.28	8.15	N	06/2006	Incumbent
11-1011.00	3.A.3	On-the-Job Training	OJ	4	21.78	30	13.87	5.00	59.55	N	06/2006	Incumbent
11-1011.00	3.A.3	On-the-Job Training	OJ	5	3.30	30	2.16	0.85	11.97	N	06/2006	Incumbent
11-1011.00	3.A.3	On-the-Job Training	OJ	6	14.26	30	12.93	1.88	59.14	N	06/2006	Incumbent
11-1011.00	3.A.3	On-the-Job Training	OJ	7	2.02	30	1.65	0.37	10.19	N	06/2006	Incumbent
11-1011.00	3.A.3	On-the-Job Training	OJ	8	1.86	30	1.73	0.27	11.58	N	06/2006	Incumbent
11-1011.00	3.A.3	On-the-Job Training	OJ	9	33.63	30	23.42	5.60	81.24	Y	06/2006	Incumbent
11-1021.00	2.D.1	Required Level of Education	RL	1	0.33	44	0.33	0.04	2.51	N	06/2008	Incumbent
11-1021.00	2.D.1	Required Level of Education	RL	2	8.54	44	4.20	3.06	21.65	N	06/2008	Incumbent
11-1021.00	2.D.1	Required Level of Education	RL	3	10.39	44	8.51	1.80	42.28	N	06/2008	Incumbent
11-1021.00	2.D.1	Required Level of Education	RL	4	11.01	44	6.17	3.36	30.58	N	06/2008	Incumbent
11-1021.00	2.D.1	Required Level of Education	RL	5	31.86	44	10.28	15.25	54.87	N	06/2008	Incumbent
11-1021.00	2.D.1	Required Level of Education	RL	6	26.72	44	8.48	13.21	46.62	N	06/2008	Incumbent
11-1021.00	2.D.1	Required Level of Education	RL	7	6.09	44	4.91	1.14	26.78	N	06/2008	Incumbent
11-1021.00	2.D.1	Required Level of Education	RL	8	5.05	44	4.65	0.75	27.35	N	06/2008	Incumbent
11-1021.00	2.D.1	Required Level of Education	RL	9	0.00	44	0.00	n/a	n/a	N	06/2008	Incumbent
11-1021.00	2.D.1	Required Level of Education	RL	10	0.00	44	0.00	n/a	n/a	N	06/2008	Incumbent
11-1021.00	2.D.1	Required Level of Education	RL	11	0.00	44	0.00	n/a	n/a	N	06/2008	Incumbent
11-1021.00	2.D.1	Required Level of Education	RL	12	0.00	44	0.00	n/a	n/a	N	06/2008	Incumbent
11-1021.00	3.A.1	Related Work Experience	RW	1	0.69	44	0.70	0.09	5.24	N	06/2008	Incumbent
11-1021.00	3.A.1	Related Work Experience	RW	2	0.00	44	0.00	n/a	n/a	N	06/2008	Incumbent
11-1021.00	3.A.1	Related Work Experience	RW	3	0.69	44	0.69	0.09	5.11	N	06/2008	Incumbent
11-1021.00	3.A.1	Related Work Experience	RW	4	0.00	44	0.00	n/a	n/a	N	06/2008	Incumbent
11-1021.00	3.A.1	Related Work Experience	RW	5	6.37	44	4.09	1.68	21.34	N	06/2008	Incumbent
11-1021.00	3.A.1	Related Work Experience	RW	6	7.41	44	4.66	2.00	23.93	N	06/2008	Incumbent
11-1021.00	3.A.1	Related Work Experience	RW	7	34.82	44	10.13	17.84	56.80	N	06/2008	Incumbent
11-1021.00	3.A.1	Related Work Experience	RW	8	7.63	44	4.51	2.22	23.11	N	06/2008	Incumbent
11-1021.00	3.A.1	Related Work Experience	RW	9	7.19	44	4.98	1.69	25.86	N	06/2008	Incumbent
11-1021.00	3.A.1	Related Work Experience	RW	10	8.45	44	5.01	2.43	25.43	N	06/2008	Incumbent
11-1021.00	3.A.1	Related Work Experience	RW	11	26.75	44	9.80	11.76	50.02	N	06/2008	Incumbent
11-1021.00	3.A.2	On-Site or In-Plant Training	PT	1	15.66	44	6.50	6.44	33.37	N	06/2008	Incumbent
11-1021.00	3.A.2	On-Site or In-Plant Training	PT	2	12.67	44	5.58	4.98	28.63	N	06/2008	Incumbent
11-1021.00	3.A.2	On-Site or In-Plant Training	PT	3	11.26	44	5.58	3.96	28.12	N	06/2008	Incumbent
11-1021.00	3.A.2	On-Site or In-Plant Training	PT	4	15.97	44	8.74	4.86	41.40	N	06/2008	Incumbent
11-1021.00	3.A.2	On-Site or In-Plant Training	PT	5	2.13	44	2.13	0.28	14.60	N	06/2008	Incumbent
11-1021.00	3.A.2	On-Site or In-Plant Training	PT	6	22.64	44	9.80	8.65	47.49	N	06/2008	Incumbent
11-1021.00	3.A.2	On-Site or In-Plant Training	PT	7	3.05	44	2.42	0.60	14.10	N	06/2008	Incumbent
11-1021.00	3.A.2	On-Site or In-Plant Training	PT	8	5.64	44	4.73	0.99	26.37	N	06/2008	Incumbent
11-1021.00	3.A.2	On-Site or In-Plant Training	PT	9	10.98	44	5.75	3.63	28.77	N	06/2008	Incumbent
11-1021.00	3.A.3	On-the-Job Training	OJ	1	4.57	44	3.13	1.11	16.92	N	06/2008	Incumbent
11-1021.00	3.A.3	On-the-Job Training	OJ	2	4.37	44	2.71	1.22	14.43	N	06/2008	Incumbent
11-1021.00	3.A.3	On-the-Job Training	OJ	3	16.71	44	7.37	6.45	36.86	N	06/2008	Incumbent
11-1021.00	3.A.3	On-the-Job Training	OJ	4	17.85	44	7.54	7.15	38.01	N	06/2008	Incumbent
11-1021.00	3.A.3	On-the-Job Training	OJ	5	9.86	44	5.23	3.23	26.40	N	06/2008	Incumbent
11-1021.00	3.A.3	On-the-Job Training	OJ	6	31.72	44	10.84	14.47	56.04	N	06/2008	Incumbent
11-1021.00	3.A.3	On-the-Job Training	OJ	7	3.05	44	2.42	0.60	14.10	N	06/2008	Incumbent
11-1021.00	3.A.3	On-the-Job Training	OJ	8	2.03	44	1.29	0.56	7.10	N	06/2008	Incumbent
11-1021.00	3.A.3	On-the-Job Training	OJ	9	9.85	44	5.69	2.91	28.48	N	06/2008	Incumbent
11-2011.00	2.D.1	Required Level of Education	RL	1	0.00	38	0.00	n/a	n/a	N	12/2004	Incumbent
11-2011.00	2.D.1	Required Level of Education	RL	2	1.94	38	1.63	0.35	10.05	N	12/2004	Incumbent
11-2011.00	2.D.1	Required Level of Education	RL	3	0.00	38	0.00	n/a	n/a	N	12/2004	Incumbent
11-2011.00	2.D.1	Required Level of Education	RL	4	11.12	38	6.48	3.21	32.07	N	12/2004	Incumbent
11-2011.00	2.D.1	Required Level of Education	RL	5	15.25	38	11.41	2.92	51.83	N	12/2004	Incumbent
11-2011.00	2.D.1	Required Level of Education	RL	6	71.28	38	14.94	36.14	91.59	N	12/2004	Incumbent
11-2011.00	2.D.1	Required Level of Education	RL	7	0.19	38	0.21	0.02	1.72	N	12/2004	Incumbent
11-2011.00	2.D.1	Required Level of Education	RL	8	0.21	38	0.23	0.02	1.89	N	12/2004	Incumbent
11-2011.00	2.D.1	Required Level of Education	RL	9	0.00	38	0.00	n/a	n/a	N	12/2004	Incumbent
11-2011.00	2.D.1	Required Level of Education	RL	10	0.00	38	0.00	n/a	n/a	N	12/2004	Incumbent
11-2011.00	2.D.1	Required Level of Education	RL	11	0.00	38	0.00	n/a	n/a	N	12/2004	Incumbent
11-2011.00	2.D.1	Required Level of Education	RL	12	0.00	38	0.00	n/a	n/a	N	12/2004	Incumbent
11-2011.00	3.A.1	Related Work Experience	RW	1	0.00	39	0.00	n/a	n/a	N	12/2004	Incumbent
11-2011.00	3.A.1	Related Work Experience	RW	2	0.00	39	0.00	n/a	n/a	N	12/2004	Incumbent
11-2011.00	3.A.1	Related Work Experience	RW	3	0.00	39	0.00	n/a	n/a	N	12/2004	Incumbent
11-2011.00	3.A.1	Related Work Experience	RW	4	0.00	39	0.00	n/a	n/a	N	12/2004	Incumbent
11-2011.00	3.A.1	Related Work Experience	RW	5	1.23	39	1.33	0.14	10.24	N	12/2004	Incumbent
11-2011.00	3.A.1	Related Work Experience	RW	6	29.49	39	16.07	8.04	66.66	N	12/2004	Incumbent
11-2011.00	3.A.1	Related Work Experience	RW	7	10.53	39	6.86	2.63	33.96	N	12/2004	Incumbent
11-2011.00	3.A.1	Related Work Experience	RW	8	11.28	39	6.24	3.47	31.00	N	12/2004	Incumbent
11-2011.00	3.A.1	Related Work Experience	RW	9	4.41	39	3.34	0.92	18.66	N	12/2004	Incumbent
11-2011.00	3.A.1	Related Work Experience	RW	10	40.40	39	24.82	7.76	84.53	Y	12/2004	Incumbent
11-2011.00	3.A.1	Related Work Experience	RW	11	2.66	39	2.70	0.33	18.40	N	12/2004	Incumbent
